, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge
5.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 80.516, 80.968, 81.387, 81.765, 81.765, 81.765, 81.105, 82.566, 82.727, 84.208, 85.181, 85.511, 85.281, 85.281, 85.281, 85.436, 85.918, 86.812, 85.161, 86.344, 85.894, 86.030, 86.030, 86.030, 85.992, 86.174, 86.994, 43.097, 43.659, 49.520, 44.222, 44.222, 44.222, 39.221, 45.236, 45.872, 80.426, 80.753, 81.085, 79.838, 79.838, 79.838, 78.823, 78.320, 79.043, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
5.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 79.555, 80.006, 80.417, 80.694, 80.694, 80.694, 80.097, 81.536, 81.683, 83.545, 84.559, 84.814, 84.614, 84.614, 84.614, 84.783, 85.280, 86.273, 84.580, 85.669, 85.245, 85.451, 85.451, 85.451, 85.405, 85.569, 86.452, 41.076, 41.615, 47.592, 42.182, 42.182, 42.182, 37.295, 43.217, 43.911, 79.549, 79.879, 80.210, 79.007, 79.007, 79.007, 77.988, 77.541, 78.239, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
6.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 78.499, 79.345, 79.407, 79.759, 79.759, 79.759, 79.296, 80.466, 80.720, 83.052, 84.000, 84.066, 84.086, 84.086, 84.086, 84.206, 84.691, 85.770, 84.059, 85.142, 84.533, 84.915, 84.915, 84.915, 84.875, 85.005, 85.955, 39.221, 39.825, 45.968, 40.274, 40.274, 40.274, 35.456, 41.423, 42.043, 78.716, 79.057, 79.366, 78.249, 78.249, 78.249, 77.196, 76.793, 77.489, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
6.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 77.785, 78.575, 78.624, 78.891, 78.891, 78.891, 78.467, 79.596, 79.944, 82.545, 83.479, 83.471, 83.470, 83.470, 83.470, 83.653, 84.128, 85.268, 83.408, 84.631, 83.983, 84.398, 84.398, 84.398, 84.330, 84.441, 85.468, 37.591, 38.052, 44.413, 38.742, 38.742, 38.742, 33.846, 39.792, 40.381, 77.935, 78.294, 78.585, 77.521, 77.521, 77.521, 76.457, 76.118, 76.804, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
7.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 76.784, 77.558, 77.694, 78.105, 78.105, 78.105, 77.638, 78.726, 79.248, 81.922, 82.768, 82.875, 82.904, 82.904, 82.904, 83.164, 83.490, 84.802, 82.746, 84.031, 83.460, 83.794, 83.794, 83.794, 83.863, 83.857, 84.996, 36.019, 36.614, 42.796, 37.175, 37.175, 37.175, 32.187, 38.342, 39.030, 77.176, 77.537, 77.858, 76.819, 76.819, 76.819, 75.745, 75.441, 76.135, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
7.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 75.988, 76.994, 76.804, 77.359, 77.359, 77.359, 76.989, 77.803, 78.338, 81.260, 82.235, 82.419, 82.237, 82.237, 82.237, 82.712, 82.876, 84.189, 82.165, 83.525, 82.989, 83.210, 83.210, 83.210, 83.448, 83.277, 84.449, 34.586, 35.231, 41.424, 35.749, 35.749, 35.749, 30.856, 36.880, 37.559, 76.444, 76.817, 77.169, 76.127, 76.127, 76.127, 75.077, 74.777, 75.492, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
8.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 75.288, 76.279, 76.086, 76.573, 76.573, 76.573, 76.188, 77.228, 77.750, 80.649, 81.575, 81.848, 81.633, 81.633, 81.633, 82.310, 82.301, 83.613, 81.595, 82.956, 82.523, 82.663, 82.663, 82.663, 83.001, 82.781, 83.942, 33.208, 33.938, 40.121, 34.469, 34.469, 34.469, 29.574, 35.543, 36.216, 75.743, 76.144, 76.526, 75.471, 75.471, 75.471, 74.456, 74.125, 74.877, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
8.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 74.451, 75.660, 75.342, 75.990, 75.990, 75.990, 75.649, 76.492, 77.094, 80.195, 81.130, 81.328, 81.130, 81.130, 81.130, 81.883, 81.700, 83.074, 81.122, 82.487, 81.999, 82.167, 82.167, 82.167, 82.539, 82.253, 83.475, 32.008, 32.780, 38.986, 33.316, 33.316, 33.316, 28.330, 34.299, 34.979, 75.097, 75.492, 75.926, 74.821, 74.821, 74.821, 73.863, 73.508, 74.276, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
9.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 73.655, 74.862, 74.572, 75.122, 75.122, 75.122, 75.097, 75.783, 76.425, 79.753, 80.622, 80.758, 80.689, 80.689, 80.689, 81.368, 81.299, 82.633, 80.670, 81.955, 81.476, 81.776, 81.776, 81.776, 82.035, 81.839, 83.034, 30.877, 31.568, 37.809, 32.083, 32.083, 32.083, 27.129, 33.087, 33.819, 74.494, 74.900, 75.332, 74.172, 74.172, 74.172, 73.306, 72.897, 73.695, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
9.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 73.010, 74.202, 73.774, 74.485, 74.485, 74.485, 74.530, 75.020, 75.729, 79.377, 80.279, 80.124, 80.299, 80.299, 80.299, 80.929, 80.874, 82.216, 80.234, 81.607, 80.926, 81.359, 81.359, 81.359, 81.542, 81.410, 82.639, 29.731, 30.488, 36.841, 30.994, 30.994, 30.994, 26.082, 31.984, 32.711, 73.936, 74.344, 74.766, 73.536, 73.536, 73.536, 72.754, 72.315, 73.119, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
10.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 72.338, 73.666, 73.190, 73.875, 73.875, 73.875, 73.909, 74.364, 75.100, 79.065, 79.848, 79.719, 79.859, 79.859, 79.859, 80.251, 80.498, 81.713, 79.761, 81.149, 80.445, 80.906, 80.906, 80.906, 80.976, 80.981, 82.208, 28.689, 29.457, 35.748, 29.931, 29.931, 29.931, 25.029, 30.983, 31.651, 73.413, 73.820, 74.245, 72.932, 72.932, 72.932, 72.240, 71.750, 72.557, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
10.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 71.707, 73.047, 72.526, 73.210, 73.210, 73.210, 73.384, 73.829, 74.472, 78.481, 79.467, 79.300, 79.469, 79.469, 79.469, 79.887, 80.073, 81.346, 79.277, 80.780, 80.005, 80.510, 80.510, 80.510, 80.602, 80.567, 81.848, 27.706, 28.440, 34.721, 28.911, 28.911, 28.911, 24.123, 29.997, 30.701, 72.929, 73.352, 73.745, 72.368, 72.368, 72.368, 71.732, 71.199, 72.001, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
11.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 71.089, 72.483, 71.861, 72.695, 72.695, 72.695, 72.735, 73.013, 73.923, 78.091, 78.984, 78.945, 79.092, 79.092, 79.092, 79.422, 79.735, 81.003, 78.750, 80.395, 79.649, 80.072, 80.072, 80.072, 80.213, 80.127, 81.478, 26.767, 27.495, 33.782, 28.066, 28.066, 28.066, 23.288, 28.987, 29.727, 72.475, 72.925, 73.257, 71.841, 71.841, 71.841, 71.250, 70.671, 71.442, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
11.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 70.541, 71.988, 71.317, 72.031, 72.031, 72.031, 72.169, 72.438, 73.307, 77.519, 78.476, 78.552, 78.702, 78.702, 78.702, 79.008, 79.146, 80.708, 78.234, 79.926, 79.314, 79.644, 79.644, 79.644, 79.813, 79.620, 81.047, 25.883, 26.554, 32.901, 27.135, 27.135, 27.135, 22.420, 28.111, 28.857, 72.062, 72.495, 72.783, 71.340, 71.340, 71.340, 70.810, 70.148, 70.908, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
12.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 69.992, 71.425, 70.878, 71.462, 71.462, 71.462, 71.782, 71.836, 72.799, 77.000, 77.917, 78.274, 78.098, 78.098, 78.098, 78.644, 78.671, 80.071, 77.798, 79.452, 78.979, 79.123, 79.123, 79.123, 79.444, 79.186, 80.565, 25.011, 25.749, 32.049, 26.282, 26.282, 26.282, 21.575, 27.198, 27.960, 71.654, 72.079, 72.325, 70.851, 70.851, 70.851, 70.373, 69.636, 70.375, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
12.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 69.457, 70.861, 70.134, 70.865, 70.865, 70.865, 71.340, 71.367, 72.317, 76.519, 77.410, 77.817, 77.607, 77.607, 77.607, 78.355, 78.233, 79.569, 77.336, 79.057, 78.613, 78.649, 78.649, 78.649, 79.112, 78.751, 80.174, 24.216, 24.976, 31.228, 25.488, 25.488, 25.488, 20.794, 26.431, 27.224, 71.237, 71.679, 71.888, 70.372, 70.372, 70.372, 69.948, 69.129, 69.856, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
13.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 69.018, 70.366, 69.656, 70.431, 70.431, 70.431, 70.801, 70.872, 71.822, 76.195, 77.016, 77.500, 77.129, 77.129, 77.129, 77.991, 77.782, 79.091, 76.927, 78.635, 78.273, 78.211, 78.211, 78.211, 78.806, 78.270, 79.738, 23.385, 24.171, 30.456, 24.664, 24.664, 24.664, 20.112, 25.639, 26.334, 70.862, 71.294, 71.461, 69.918, 69.918, 69.918, 69.530, 68.636, 69.359, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
13.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 68.510, 69.939, 69.204, 69.902, 69.902, 69.902, 70.387, 70.377, 71.327, 75.727, 76.610, 77.234, 76.865, 76.865, 76.865, 77.715, 77.419, 78.711, 76.491, 78.203, 77.985, 77.930, 77.930, 77.930, 78.499, 77.857, 79.394, 22.604, 23.434, 29.744, 23.878, 23.878, 23.878, 19.436, 24.767, 25.542, 70.504, 70.938, 71.030, 69.478, 69.478, 69.478, 69.107, 68.146, 68.886, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
14.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 68.057, 69.568, 68.620, 69.536, 69.536, 69.536, 69.986, 69.855, 70.832, 75.429, 76.317, 76.879, 76.362, 76.362, 76.362, 77.439, 77.181, 78.331, 76.152, 77.808, 77.550, 77.460, 77.460, 77.460, 78.162, 77.515, 79.034, 22.007, 22.815, 28.944, 23.195, 23.195, 23.195, 18.792, 23.991, 24.818, 70.181, 70.607, 70.624, 69.077, 69.077, 69.077, 68.694, 67.692, 68.426, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
14.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 67.522, 69.073, 68.208, 69.075, 69.075, 69.075, 69.641, 69.347, 70.377, 75.182, 76.025, 76.486, 76.060, 76.060, 76.060, 77.125, 76.906, 77.963, 75.808, 77.508, 77.048, 77.142, 77.142, 77.142, 77.700, 77.101, 78.699, 21.369, 22.101, 28.169, 22.619, 22.619, 22.619, 18.094, 23.422, 24.115, 69.861, 70.275, 70.236, 68.700, 68.700, 68.700, 68.286, 67.245, 67.987, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
15.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 67.097, 68.647, 67.716, 68.587, 68.587, 68.587, 69.157, 68.839, 69.922, 74.987, 75.670, 75.751, 75.884, 75.884, 75.884, 76.686, 76.543, 77.608, 75.496, 77.086, 76.504, 76.866, 76.866, 76.866, 77.201, 76.760, 78.374, 20.781, 21.499, 27.582, 21.992, 21.992, 21.992, 17.542, 22.767, 23.492, 69.557, 69.978, 69.849, 68.324, 68.324, 68.324, 67.886, 66.833, 67.556, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
15.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 66.740, 68.331, 67.437, 68.194, 68.194, 68.194, 68.660, 68.397, 69.481, 74.740, 75.390, 75.269, 75.632, 75.632, 75.632, 76.058, 76.317, 77.277, 75.179, 76.770, 76.095, 76.522, 76.522, 76.522, 76.750, 76.455, 78.055, 20.183, 20.961, 26.985, 21.304, 21.304, 21.304, 16.915, 22.154, 22.873, 69.264, 69.669, 69.472, 67.970, 67.970, 67.970, 67.511, 66.412, 67.140, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
16.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 66.369, 67.973, 66.972, 67.720, 67.720, 67.720, 68.232, 67.929, 69.079, 74.351, 75.111, 74.914, 75.381, 75.381, 75.381, 75.543, 76.055, 77.056, 74.765, 76.449, 75.703, 76.209, 76.209, 76.209, 76.303, 76.108, 77.761, 19.599, 20.355, 26.346, 20.703, 20.703, 20.703, 16.293, 21.459, 22.218, 68.976, 69.360, 69.101, 67.628, 67.628, 67.628, 67.152, 66.024, 66.739, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
