Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
8.000, 100.000, 100.000, 34.066, 3.708, 34.243, 22.734, 32.869
8.100, 100.000, 100.000, 34.024, 3.681, 34.201, 22.694, 32.818
8.200, 100.000, 100.000, 33.929, 3.651, 34.138, 22.654, 32.782
8.300, 100.000, 100.000, 33.845, 3.622, 34.096, 22.615, 32.739
8.400, 100.000, 100.000, 33.774, 3.595, 34.039, 22.576, 32.694
8.500, 100.000, 100.000, 33.661, 3.568, 33.986, 22.534, 32.657
8.600, 100.000, 100.000, 33.601, 3.549, 33.955, 22.492, 32.624
8.700, 100.000, 100.000, 33.560, 3.524, 33.918, 22.451, 32.597
8.800, 100.000, 100.000, 33.524, 3.496, 33.845, 22.409, 32.550
8.900, 100.000, 100.000, 33.458, 3.473, 33.819, 22.372, 32.523
9.000, 100.000, 100.000, 33.405, 3.447, 33.756, 22.335, 32.475
9.100, 100.000, 100.000, 33.345, 3.417, 33.730, 22.297, 32.447
9.200, 100.000, 100.000, 33.286, 3.395, 33.719, 22.256, 32.426
9.300, 100.000, 100.000, 33.232, 3.374, 33.693, 22.218, 32.399
9.400, 100.000, 100.000, 33.196, 3.344, 33.646, 22.180, 32.364
9.500, 100.000, 100.000, 33.113, 3.314, 33.620, 22.143, 32.321
9.600, 100.000, 100.000, 33.048, 3.293, 33.588, 22.105, 32.288
9.700, 100.000, 100.000, 32.976, 3.273, 33.546, 22.066, 32.257
9.800, 100.000, 100.000, 32.887, 3.255, 33.504, 22.029, 32.230
9.900, 100.000, 100.000, 32.821, 3.230, 33.473, 21.991, 32.197
10.000, 100.000, 100.000, 32.774, 3.212, 33.457, 21.956, 32.173
10.100, 100.000, 100.000, 32.714, 3.186, 33.415, 21.917, 32.138
10.200, 100.000, 100.000, 32.655, 3.167, 33.368, 21.878, 32.105
10.300, 100.000, 100.000, 32.619, 3.149, 33.321, 21.842, 32.068
10.400, 100.000, 100.000, 32.571, 3.124, 33.290, 21.803, 32.035
10.500, 100.000, 100.000, 32.506, 3.103, 33.269, 21.766, 32.008
10.600, 100.000, 100.000, 32.458, 3.079, 33.232, 21.730, 31.973
10.700, 100.000, 100.000, 32.404, 3.053, 33.211, 21.693, 31.942
10.800, 100.000, 100.000, 32.351, 3.030, 33.180, 21.657, 31.917
10.900, 100.000, 100.000, 32.285, 3.011, 33.138, 21.623, 31.888
11.000, 100.000, 100.000, 32.220, 2.988, 33.101, 21.589, 31.861
11.100, 100.000, 100.000, 32.190, 2.971, 33.059, 21.553, 31.831
11.200, 100.000, 100.000, 32.125, 2.950, 33.028, 21.519, 31.796
11.300, 100.000, 100.000, 32.077, 2.934, 33.002, 21.484, 31.773
11.400, 100.000, 100.000, 32.005, 2.914, 32.975, 21.449, 31.736
11.500, 100.000, 100.000, 31.982, 2.899, 32.949, 21.416, 31.711
