Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
8.000, 100.000, 100.000, 35.209, 3.955, 35.846, 22.922, 34.231
8.100, 100.000, 100.000, 35.102, 3.930, 35.809, 22.878, 34.196
8.200, 100.000, 100.000, 35.078, 3.908, 35.783, 22.835, 34.157
8.300, 100.000, 100.000, 34.995, 3.875, 35.746, 22.792, 34.122
8.400, 100.000, 100.000, 34.923, 3.845, 35.710, 22.753, 34.083
8.500, 100.000, 100.000, 34.864, 3.814, 35.684, 22.716, 34.050
8.600, 100.000, 100.000, 34.792, 3.791, 35.652, 22.679, 34.015
8.700, 100.000, 100.000, 34.721, 3.768, 35.636, 22.639, 33.988
8.800, 100.000, 100.000, 34.673, 3.737, 35.595, 22.598, 33.955
8.900, 100.000, 100.000, 34.566, 3.712, 35.553, 22.560, 33.928
9.000, 100.000, 100.000, 34.506, 3.686, 35.532, 22.523, 33.885
9.100, 100.000, 100.000, 34.453, 3.657, 35.448, 22.485, 33.831
9.200, 100.000, 100.000, 34.363, 3.632, 35.385, 22.448, 33.782
9.300, 100.000, 100.000, 34.316, 3.603, 35.343, 22.411, 33.753
9.400, 100.000, 100.000, 34.232, 3.576, 35.327, 22.375, 33.726
9.500, 100.000, 100.000, 34.173, 3.546, 35.291, 22.339, 33.689
9.600, 100.000, 100.000, 34.119, 3.520, 35.259, 22.305, 33.646
9.700, 100.000, 100.000, 34.036, 3.493, 35.217, 22.272, 33.603
9.800, 100.000, 100.000, 33.994, 3.467, 35.181, 22.235, 33.570
9.900, 100.000, 100.000, 33.953, 3.444, 35.165, 22.200, 33.549
10.000, 100.000, 100.000, 33.881, 3.423, 35.139, 22.166, 33.522
10.100, 100.000, 100.000, 33.834, 3.401, 35.086, 22.132, 33.485
10.200, 100.000, 100.000, 33.756, 3.377, 35.060, 22.100, 33.454
10.300, 100.000, 100.000, 33.703, 3.351, 35.029, 22.066, 33.417
10.400, 100.000, 100.000, 33.619, 3.328, 34.992, 22.033, 33.376
10.500, 100.000, 100.000, 33.530, 3.308, 34.950, 21.999, 33.337
10.600, 100.000, 100.000, 33.476, 3.288, 34.893, 21.966, 33.300
10.700, 100.000, 100.000, 33.405, 3.265, 34.861, 21.934, 33.275
10.800, 100.000, 100.000, 33.375, 3.243, 34.825, 21.901, 33.238
10.900, 100.000, 100.000, 33.321, 3.222, 34.788, 21.869, 33.207
11.000, 100.000, 100.000, 33.280, 3.202, 34.741, 21.841, 33.162
11.100, 100.000, 100.000, 33.220, 3.181, 34.725, 21.806, 33.127
11.200, 100.000, 100.000, 33.202, 3.162, 34.688, 21.774, 33.100
11.300, 100.000, 100.000, 33.131, 3.141, 34.631, 21.743, 33.063
11.400, 100.000, 100.000, 33.089, 3.124, 34.610, 21.712, 33.040
11.500, 100.000, 100.000, 33.006, 3.105, 34.568, 21.680, 33.001
11.600, 100.000, 100.000, 32.952, 3.085, 34.547, 21.650, 32.974
11.700, 100.000, 100.000, 32.893, 3.063, 34.521, 21.620, 32.945
11.800, 100.000, 100.000, 32.851, 3.040, 34.479, 21.592, 32.902
11.900, 100.000, 100.000, 32.815, 3.026, 34.453, 21.563, 32.877
12.000, 100.000, 100.000, 32.774, 3.009, 34.405, 21.531, 32.836
12.100, 100.000, 100.000, 32.678, 2.987, 34.364, 21.499, 32.807
12.200, 100.000, 100.000, 32.643, 2.971, 34.337, 21.469, 32.780
12.300, 100.000, 100.000, 32.607, 2.952, 34.306, 21.440, 32.752
12.400, 100.000, 100.000, 32.571, 2.935, 34.264, 21.410, 32.719
12.500, 100.000, 100.000, 32.541, 2.913, 34.233, 21.382, 32.684
12.600, 100.000, 100.000, 32.470, 2.898, 34.196, 21.355, 32.649
12.700, 100.000, 100.000, 32.434, 2.875, 34.185, 21.326, 32.626
12.800, 100.000, 100.000, 32.375, 2.853, 34.149, 21.296, 32.591
12.900, 100.000, 100.000, 32.327, 2.838, 34.102, 21.267, 32.566
13.000, 100.000, 100.000, 32.279, 2.821, 34.070, 21.239, 32.541
13.100, 100.000, 100.000, 32.232, 2.807, 34.018, 21.212, 32.506
13.200, 100.000, 100.000, 32.172, 2.790, 33.986, 21.183, 32.467
13.300, 100.000, 100.000, 32.119, 2.773, 33.971, 21.156, 32.445
13.400, 100.000, 100.000, 32.071, 2.754, 33.939, 21.129, 32.426
13.500, 100.000, 100.000, 32.029, 2.741, 33.913, 21.102, 32.395
13.600, 100.000, 100.000, 31.958, 2.720, 33.876, 21.073, 32.368
13.700, 100.000, 100.000, 31.874, 2.700, 33.855, 21.046, 32.339
13.800, 100.000, 100.000, 31.833, 2.682, 33.829, 21.019, 32.311
13.900, 100.000, 100.000, 31.791, 2.666, 33.808, 20.992, 32.276
14.000, 100.000, 100.000, 31.761, 2.645, 33.782, 20.964, 32.257
14.100, 100.000, 100.000, 31.714, 2.631, 33.745, 20.934, 32.228
14.200, 100.000, 100.000, 31.684, 2.619, 33.704, 20.908, 32.189
14.300, 100.000, 100.000, 31.648, 2.606, 33.662, 20.882, 32.160
14.400, 100.000, 100.000, 31.607, 2.592, 33.635, 20.857, 32.135
14.500, 100.000, 100.000, 31.577, 2.568, 33.604, 20.831, 32.105
14.600, 100.000, 100.000, 31.535, 2.553, 33.567, 20.805, 32.080
14.700, 100.000, 100.000, 31.476, 2.537, 33.536, 20.781, 32.053
14.800, 100.000, 100.000, 31.404, 2.526, 33.504, 20.757, 32.026
14.900, 100.000, 100.000, 31.374, 2.513, 33.489, 20.732, 32.006
15.000, 100.000, 100.000, 31.356, 2.499, 33.463, 20.709, 31.967
15.100, 100.000, 100.000, 31.309, 2.485, 33.421, 20.688, 31.929
15.200, 100.000, 100.000, 31.279, 2.469, 33.389, 20.666, 31.899
15.300, 100.000, 100.000, 31.231, 2.448, 33.363, 20.645, 31.859
15.400, 100.000, 100.000, 31.184, 2.432, 33.337, 20.625, 31.837
15.500, 100.000, 100.000, 31.154, 2.419, 33.305, 20.602, 31.812
15.600, 100.000, 100.000, 31.118, 2.407, 33.258, 20.577, 31.779
15.700, 100.000, 100.000, 31.077, 2.397, 33.232, 20.556, 31.744
15.800, 100.000, 100.000, 31.065, 2.388, 33.195, 20.534, 31.709
15.900, 100.000, 100.000, 31.029, 2.373, 33.164, 20.513, 31.676
16.000, 100.000, 100.000, 30.975, 2.361, 33.143, 20.492, 31.645
16.100, 100.000, 100.000, 30.886, 2.350, 33.096, 20.473, 31.618
16.200, 100.000, 100.000, 30.838, 2.336, 33.064, 20.453, 31.589
16.300, 100.000, 100.000, 30.779, 2.323, 33.017, 20.431, 31.559
16.400, 100.000, 100.000, 30.749, 2.312, 33.007, 20.411, 31.534
16.500, 100.000, 100.000, 30.719, 2.298, 32.986, 20.392, 31.497
16.600, 100.000, 100.000, 30.707, 2.286, 32.949, 20.372, 31.466
16.700, 100.000, 100.000, 30.672, 2.273, 32.923, 20.353, 31.437
16.800, 100.000, 100.000, 30.642, 2.259, 32.886, 20.333, 31.412
16.900, 100.000, 100.000, 30.612, 2.245, 32.860, 20.314, 31.365
17.000, 100.000, 100.000, 30.582, 2.234, 32.829, 20.297, 31.326
17.100, 100.000, 100.000, 30.529, 2.221, 32.803, 20.280, 31.295
17.200, 100.000, 100.000, 30.493, 2.206, 32.771, 20.261, 31.262
17.300, 100.000, 100.000, 30.487, 2.197, 32.755, 20.242, 31.245
17.400, 100.000, 100.000, 30.422, 2.184, 32.719, 20.225, 31.225
17.500, 100.000, 100.000, 30.380, 2.169, 32.693, 20.206, 31.202
17.600, 100.000, 100.000, 30.350, 2.156, 32.672, 20.190, 31.163
17.700, 100.000, 100.000, 30.302, 2.145, 32.630, 20.174, 31.134
17.800, 100.000, 100.000, 30.279, 2.137, 32.593, 20.158, 31.085
17.900, 100.000, 100.000, 30.255, 2.125, 32.562, 20.141, 31.052
18.000, 100.000, 100.000, 30.213, 2.112, 32.535, 20.126, 31.023
18.100, 100.000, 100.000, 30.177, 2.101, 32.499, 20.110, 30.986
18.200, 100.000, 100.000, 30.136, 2.090, 32.467, 20.094, 30.959
18.300, 100.000, 100.000, 30.106, 2.081, 32.436, 20.078, 30.932
18.400, 100.000, 100.000, 30.064, 2.069, 32.415, 20.062, 30.905
18.500, 100.000, 100.000, 30.046, 2.058, 32.373, 20.046, 30.879
18.600, 100.000, 100.000, 29.999, 2.047, 32.310, 20.031, 30.821
18.700, 100.000, 100.000, 29.957, 2.039, 32.294, 20.015, 30.786
18.800, 100.000, 100.000, 29.921, 2.027, 32.284, 20.001, 30.763
18.900, 100.000, 100.000, 29.904, 2.015, 32.237, 19.986, 30.720
19.000, 100.000, 100.000, 29.850, 2.006, 32.205, 19.970, 30.662
19.100, 100.000, 100.000, 29.808, 1.994, 32.163, 19.955, 30.633
19.200, 100.000, 100.000, 29.755, 1.988, 32.101, 19.940, 30.592
