, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge
5.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 82.428, 82.902, 83.266, 83.208, 83.208, 83.208, 82.502, 83.573, 83.921, 85.009, 85.272, 85.852, 85.323, 85.323, 85.323, 85.564, 85.590, 86.240, 85.301, 86.135, 86.334, 86.113, 86.113, 86.113, 86.243, 86.206, 86.848, 40.954, 40.938, 46.796, 41.549, 41.549, 41.549, 37.131, 42.924, 43.122, 79.096, 79.442, 79.751, 78.271, 78.271, 78.271, 77.035, 76.727, 77.302, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
5.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 81.266, 81.891, 82.215, 82.179, 82.179, 82.179, 81.495, 82.527, 82.904, 84.598, 84.730, 85.325, 84.648, 84.648, 84.648, 84.894, 85.010, 85.600, 84.766, 85.574, 85.761, 85.500, 85.500, 85.500, 85.592, 85.642, 86.244, 38.953, 39.006, 44.961, 39.622, 39.622, 39.622, 34.907, 40.828, 40.976, 78.233, 78.610, 78.895, 77.434, 77.434, 77.434, 76.210, 75.894, 76.505, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
6.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 80.257, 80.825, 81.205, 81.232, 81.232, 81.232, 80.559, 81.549, 81.805, 83.989, 84.097, 84.798, 84.189, 84.189, 84.189, 83.920, 84.481, 84.997, 84.143, 84.905, 85.176, 84.914, 84.914, 84.914, 84.877, 85.031, 85.655, 37.121, 37.346, 43.143, 37.811, 37.811, 37.811, 32.895, 39.067, 39.222, 77.461, 77.835, 78.093, 76.681, 76.681, 76.681, 75.439, 75.157, 75.754, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
6.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 79.137, 79.690, 80.181, 80.011, 80.011, 80.011, 79.581, 80.408, 80.773, 83.525, 83.619, 84.091, 83.679, 83.679, 83.679, 83.464, 84.039, 84.492, 83.624, 84.424, 84.464, 84.396, 84.396, 84.396, 84.352, 84.561, 85.092, 35.428, 35.672, 41.424, 36.124, 36.124, 36.124, 31.285, 37.368, 37.517, 76.757, 77.088, 77.340, 75.963, 75.963, 75.963, 74.700, 74.419, 75.040, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
7.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 78.391, 79.011, 79.237, 79.229, 79.229, 79.229, 78.602, 79.538, 80.054, 83.062, 83.168, 83.488, 83.259, 83.259, 83.259, 82.831, 83.560, 84.049, 83.132, 83.991, 83.901, 83.942, 83.942, 83.942, 83.763, 84.080, 84.692, 33.841, 34.111, 39.909, 34.588, 34.588, 34.588, 29.681, 35.801, 36.011, 76.043, 76.375, 76.646, 75.249, 75.249, 75.249, 73.977, 73.690, 74.356, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
7.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 77.589, 78.236, 78.348, 78.516, 78.516, 78.516, 78.001, 78.832, 79.376, 82.625, 82.806, 82.729, 82.864, 82.864, 82.864, 82.338, 83.182, 83.631, 82.613, 83.606, 83.231, 83.493, 83.493, 83.493, 83.306, 83.626, 84.323, 32.509, 32.739, 38.475, 33.146, 33.146, 33.146, 28.213, 34.224, 34.521, 75.371, 75.692, 75.989, 74.561, 74.561, 74.561, 73.326, 72.988, 73.675, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
8.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 76.718, 77.489, 77.432, 77.788, 77.788, 77.788, 77.345, 77.948, 78.562, 82.188, 82.432, 82.344, 82.431, 82.431, 82.431, 82.047, 82.816, 83.188, 82.181, 83.242, 82.748, 83.028, 83.028, 83.028, 82.917, 83.192, 83.924, 31.114, 31.440, 37.062, 31.798, 31.798, 31.798, 26.848, 32.906, 33.229, 74.731, 75.040, 75.346, 73.900, 73.900, 73.900, 72.740, 72.321, 73.026, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
8.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 75.888, 76.838, 76.610, 76.938, 76.938, 76.938, 76.576, 77.296, 77.870, 81.698, 81.851, 81.933, 81.998, 81.998, 81.998, 81.427, 82.300, 82.745, 81.629, 82.777, 82.323, 82.621, 82.621, 82.621, 82.392, 82.654, 83.463, 29.875, 30.194, 35.716, 30.506, 30.506, 30.506, 25.722, 31.551, 31.846, 74.119, 74.424, 74.733, 73.263, 73.263, 73.263, 72.204, 71.709, 72.417, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
9.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 75.100, 75.910, 75.734, 76.197, 76.197, 76.197, 75.877, 76.427, 77.056, 81.128, 81.361, 81.444, 81.412, 81.412, 81.412, 81.212, 81.795, 82.425, 81.110, 82.285, 81.877, 81.998, 81.998, 81.998, 82.119, 82.101, 82.992, 28.730, 29.030, 34.510, 29.318, 29.318, 29.318, 24.607, 30.425, 30.781, 73.538, 73.862, 74.173, 72.682, 72.682, 72.682, 71.703, 71.117, 71.839, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
9.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 74.464, 75.246, 74.912, 75.593, 75.593, 75.593, 75.248, 75.842, 76.513, 80.413, 80.663, 81.072, 80.685, 80.685, 80.685, 80.883, 81.114, 81.686, 80.504, 81.772, 81.468, 81.485, 81.485, 81.485, 81.767, 81.526, 82.418, 27.585, 27.929, 33.473, 28.227, 28.227, 28.227, 23.411, 29.234, 29.518, 73.012, 73.345, 73.661, 72.122, 72.122, 72.122, 71.207, 70.552, 71.271, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
