, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge
1.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 46.450, 46.438, 47.918, 46.798, 46.798, 46.798, 45.641, 47.109, 47.199, 40.709, 41.389, 41.690, 41.884, 41.884, 41.884, 41.966, 42.271, 42.970, 42.839, 43.552, 43.861, 44.049, 44.049, 44.049, 44.023, 44.458, 45.113, 11.791, 11.663, 14.373, 12.115, 12.115, 12.115, 9.975, 12.594, 12.539, 31.118, 31.321, 32.668, 31.984, 31.984, 31.984, 31.170, 33.041, 33.065, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.100, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 46.258, 46.258, 47.798, 46.582, 46.582, 46.582, 45.462, 46.882, 46.983, 40.534, 41.206, 41.515, 41.696, 41.696, 41.696, 41.799, 42.104, 42.790, 42.666, 43.368, 43.656, 43.861, 43.861, 43.861, 43.913, 44.290, 44.945, 11.533, 11.451, 14.114, 11.873, 11.873, 11.873, 9.748, 12.345, 12.295, 30.876, 31.103, 32.409, 31.724, 31.724, 31.724, 30.925, 32.723, 32.777, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.200, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 46.031, 46.037, 47.606, 46.384, 46.384, 46.384, 45.294, 46.696, 46.792, 40.336, 41.024, 41.323, 41.529, 41.529, 41.529, 41.655, 41.925, 42.623, 42.483, 43.206, 43.452, 43.662, 43.662, 43.662, 43.751, 44.112, 44.783, 11.324, 11.228, 13.875, 11.649, 11.649, 11.649, 9.550, 12.121, 12.067, 30.660, 30.900, 32.176, 31.486, 31.486, 31.486, 30.687, 32.443, 32.503, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.300, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 45.881, 45.899, 47.481, 46.223, 46.223, 46.223, 45.120, 46.528, 46.630, 40.169, 40.872, 41.175, 41.360, 41.360, 41.360, 41.515, 41.787, 42.461, 42.294, 43.028, 43.305, 43.515, 43.515, 43.515, 43.651, 43.944, 44.636, 11.118, 11.029, 13.649, 11.442, 11.442, 11.442, 9.379, 11.900, 11.845, 30.472, 30.719, 31.959, 31.269, 31.269, 31.269, 30.460, 32.183, 32.266, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.400, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 45.731, 45.707, 47.385, 46.091, 46.091, 46.091, 44.922, 46.390, 46.486, 40.009, 40.709, 41.022, 41.208, 41.208, 41.208, 41.364, 41.626, 42.318, 42.137, 42.876, 43.112, 43.332, 43.332, 43.332, 43.510, 43.761, 44.500, 10.936, 10.860, 13.437, 11.240, 11.240, 11.240, 9.207, 11.705, 11.651, 30.293, 30.547, 31.758, 31.071, 31.071, 31.071, 30.258, 31.948, 32.045, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 45.557, 45.551, 47.241, 45.917, 45.917, 45.917, 44.791, 46.276, 46.342, 39.864, 40.567, 40.884, 41.055, 41.055, 41.055, 41.253, 41.486, 42.185, 41.980, 42.734, 42.991, 43.180, 43.180, 43.180, 43.410, 43.620, 44.353, 10.753, 10.674, 13.246, 11.060, 11.060, 11.060, 9.036, 11.517, 11.470, 30.129, 30.388, 31.567, 30.886, 30.886, 30.886, 30.075, 31.731, 31.840, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.600, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 45.420, 45.408, 47.097, 45.815, 45.815, 45.815, 44.671, 46.127, 46.217, 39.718, 40.417, 40.720, 40.919, 40.919, 40.919, 41.136, 41.348, 42.024, 41.839, 42.562, 42.823, 43.017, 43.017, 43.017, 43.290, 43.436, 44.196, 10.580, 10.505, 13.081, 10.885, 10.885, 10.885, 8.869, 11.347, 11.303, 29.972, 30.237, 31.393, 30.712, 30.712, 30.712, 29.905, 31.522, 31.644, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.700, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 45.318, 45.294, 46.971, 45.695, 45.695, 45.695, 44.533, 46.007, 46.079, 39.578, 40.272, 40.614, 40.790, 40.790, 40.790, 41.016, 41.231, 41.913, 41.708, 42.431, 42.677, 42.871, 42.871, 42.871, 43.180, 43.311, 44.065, 10.417, 10.351, 12.899, 10.717, 10.717, 10.717, 8.729, 11.184, 11.141, 29.821, 30.092, 31.227, 30.549, 30.549, 30.549, 29.739, 31.330, 31.460, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.800, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 45.132, 45.186, 46.828, 45.522, 45.522, 45.522, 44.407, 45.875, 45.947, 39.448, 40.165, 40.478, 40.660, 40.660, 40.660, 40.897, 41.107, 41.779, 41.551, 42.315, 42.541, 42.724, 42.724, 42.724, 43.059, 43.174, 43.939, 10.271, 10.201, 12.726, 10.566, 10.566, 10.566, 8.596, 11.018, 10.998, 29.682, 29.954, 31.074, 30.393, 30.393, 30.393, 29.586, 31.151, 31.289, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.900, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 45.024, 45.072, 46.732, 45.408, 45.408, 45.408, 44.293, 45.743, 45.827, 39.341, 40.035, 40.363, 40.542, 40.542, 40.542, 40.785, 40.981, 41.674, 41.456, 42.153, 42.394, 42.624, 42.624, 42.624, 42.939, 43.023, 43.808, 10.126, 10.067, 12.569, 10.417, 10.417, 10.417, 8.464, 10.863, 10.856, 29.545, 29.817, 30.932, 30.242, 30.242, 30.242, 29.443, 30.973, 31.118, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
