, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge
30.300, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.831, 31.850, 32.401, 31.939, 31.939, 31.939, 31.466, 32.077, 33.030, 17.459, 18.998, 20.500, 20.986, 20.986, 20.986, 21.489, 22.748, 24.557, 19.036, 21.100, 22.331, 22.724, 22.724, 22.724, 23.164, 24.311, 25.851, 2.435, 2.483, 3.706, 2.581, 2.581, 2.581, 1.674, 2.689, 2.752, 20.369, 20.379, 21.054, 20.359, 20.359, 20.359, 19.619, 20.375, 20.451, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
30.400, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.777, 31.838, 32.389, 31.891, 31.891, 31.891, 31.466, 32.053, 32.994, 17.393, 18.915, 20.446, 20.924, 20.924, 20.924, 21.446, 22.696, 24.514, 18.979, 21.027, 22.310, 22.677, 22.677, 22.677, 23.112, 24.254, 25.804, 2.426, 2.475, 3.695, 2.573, 2.573, 2.573, 1.666, 2.679, 2.740, 20.358, 20.366, 21.040, 20.347, 20.347, 20.347, 19.606, 20.361, 20.435, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
30.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.741, 31.814, 32.335, 31.879, 31.879, 31.879, 31.454, 32.047, 32.976, 17.321, 18.854, 20.397, 20.863, 20.863, 20.863, 21.398, 22.628, 24.458, 18.895, 20.959, 22.268, 22.640, 22.640, 22.640, 23.075, 24.180, 25.762, 2.417, 2.466, 3.685, 2.563, 2.563, 2.563, 1.661, 2.672, 2.731, 20.346, 20.352, 21.028, 20.334, 20.334, 20.334, 19.592, 20.347, 20.418, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
30.600, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.717, 31.796, 32.317, 31.867, 31.867, 31.867, 31.442, 32.023, 32.946, 17.267, 18.790, 20.349, 20.803, 20.803, 20.803, 21.330, 22.595, 24.394, 18.837, 20.885, 22.211, 22.577, 22.577, 22.577, 22.986, 24.149, 25.741, 2.404, 2.456, 3.674, 2.554, 2.554, 2.554, 1.655, 2.660, 2.725, 20.334, 20.340, 21.014, 20.322, 20.322, 20.322, 19.578, 20.333, 20.402, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
30.700, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.651, 31.772, 32.287, 31.832, 31.832, 31.832, 31.394, 32.011, 32.940, 17.207, 18.732, 20.288, 20.759, 20.759, 20.759, 21.285, 22.540, 24.324, 18.779, 20.854, 22.148, 22.546, 22.546, 22.546, 22.954, 24.096, 25.689, 2.398, 2.445, 3.665, 2.542, 2.542, 2.542, 1.651, 2.652, 2.717, 20.321, 20.328, 21.003, 20.308, 20.308, 20.308, 19.564, 20.318, 20.387, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
30.800, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.621, 31.742, 32.269, 31.808, 31.808, 31.808, 31.364, 31.999, 32.922, 17.121, 18.680, 20.222, 20.708, 20.708, 20.708, 21.231, 22.486, 24.281, 18.696, 20.812, 22.095, 22.509, 22.509, 22.509, 22.897, 24.044, 25.642, 2.388, 2.436, 3.656, 2.535, 2.535, 2.535, 1.645, 2.640, 2.711, 20.309, 20.317, 20.989, 20.294, 20.294, 20.294, 19.550, 20.303, 20.370, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
30.900, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.585, 31.712, 32.233, 31.796, 31.796, 31.796, 31.322, 31.975, 32.904, 17.067, 18.615, 20.156, 20.642, 20.642, 20.642, 21.172, 22.441, 24.236, 18.649, 20.765, 22.048, 22.462, 22.462, 22.462, 22.844, 24.002, 25.589, 2.379, 2.428, 3.644, 2.525, 2.525, 2.525, 1.638, 2.632, 2.703, 20.298, 20.304, 20.977, 20.281, 20.281, 20.281, 19.537, 20.290, 20.355, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
31.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.555, 31.688, 32.197, 31.748, 31.748, 31.748, 31.292, 31.951, 32.862, 16.999, 18.555, 20.102, 20.599, 20.599, 20.599, 21.112, 22.402, 24.201, 18.580, 20.707, 21.996, 22.446, 22.446, 22.446, 22.808, 23.971, 25.547, 2.372, 2.420, 3.636, 2.512, 2.512, 2.512, 1.629, 2.623, 2.695, 20.286, 20.292, 20.965, 20.268, 20.268, 20.268, 19.524, 20.279, 20.339, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
31.100, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.525, 31.664, 32.173, 31.724, 31.724, 31.724, 31.268, 31.909, 32.832, 16.931, 18.511, 20.040, 20.545, 20.545, 20.545, 21.011, 22.361, 24.141, 18.507, 20.660, 21.949, 22.389, 22.389, 22.389, 22.750, 23.929, 25.490, 2.364, 2.414, 3.625, 2.502, 2.502, 2.502, 1.623, 2.616, 2.686, 20.275, 20.280, 20.951, 20.256, 20.256, 20.256, 19.511, 20.264, 20.325, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
31.200, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.489, 31.646, 32.161, 31.706, 31.706, 31.706, 31.244, 31.879, 32.802, 16.859, 18.433, 19.991, 20.496, 20.496, 20.496, 20.968, 22.321, 24.100, 18.444, 20.587, 21.902, 22.357, 22.357, 22.357, 22.724, 23.903, 25.453, 2.355, 2.405, 3.618, 2.494, 2.494, 2.494, 1.614, 2.606, 2.676, 20.264, 20.268, 20.939, 20.243, 20.243, 20.243, 19.498, 20.251, 20.310, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
31.300, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.472, 31.610, 32.143, 31.676, 31.676, 31.676, 31.208, 31.844, 32.784, 16.793, 18.363, 19.950, 20.432, 20.432, 20.432, 20.918, 22.280, 24.060, 18.381, 20.524, 21.870, 22.300, 22.300, 22.300, 22.661, 23.855, 25.422, 2.348, 2.398, 3.609, 2.485, 2.485, 2.485, 1.608, 2.596, 2.665, 20.252, 20.256, 20.926, 20.232, 20.232, 20.232, 19.485, 20.239, 20.295, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
31.400, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.436, 31.580, 32.131, 31.670, 31.670, 31.670, 31.161, 31.826, 32.754, 16.737, 18.301, 19.906, 20.378, 20.378, 20.378, 20.871, 22.249, 24.017, 18.324, 20.482, 21.833, 22.247, 22.247, 22.247, 22.645, 23.819, 25.390, 2.339, 2.387, 3.599, 2.479, 2.479, 2.479, 1.599, 2.587, 2.654, 20.239, 20.244, 20.913, 20.220, 20.220, 20.220, 19.472, 20.226, 20.280, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
31.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.418, 31.556, 32.071, 31.634, 31.634, 31.634, 31.131, 31.796, 32.742, 16.674, 18.254, 19.871, 20.341, 20.341, 20.341, 20.819, 22.210, 23.970, 18.266, 20.440, 21.812, 22.232, 22.232, 22.232, 22.603, 23.782, 25.338, 2.326, 2.376, 3.585, 2.470, 2.470, 2.470, 1.593, 2.575, 2.646, 20.228, 20.232, 20.900, 20.207, 20.207, 20.207, 19.458, 20.213, 20.265, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
31.600, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.388, 31.544, 32.047, 31.628, 31.628, 31.628, 31.125, 31.778, 32.700, 16.591, 18.186, 19.816, 20.294, 20.294, 20.294, 20.778, 22.177, 23.922, 18.172, 20.382, 21.786, 22.179, 22.179, 22.179, 22.556, 23.751, 25.306, 2.314, 2.368, 3.572, 2.464, 2.464, 2.464, 1.587, 2.564, 2.638, 20.217, 20.220, 20.887, 20.194, 20.194, 20.194, 19.445, 20.199, 20.250, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
31.700, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.358, 31.538, 32.011, 31.598, 31.598, 31.598, 31.083, 31.760, 32.688, 16.517, 18.132, 19.766, 20.228, 20.228, 20.228, 20.716, 22.115, 23.879, 18.083, 20.325, 21.755, 22.127, 22.127, 22.127, 22.499, 23.714, 25.280, 2.305, 2.359, 3.557, 2.456, 2.456, 2.456, 1.584, 2.553, 2.630, 20.207, 20.208, 20.873, 20.182, 20.182, 20.182, 19.433, 20.186, 20.234, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
31.800, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.352, 31.526, 31.987, 31.580, 31.580, 31.580, 31.023, 31.730, 32.682, 16.439, 18.083, 19.700, 20.172, 20.172, 20.172, 20.675, 22.089, 23.830, 17.978, 20.278, 21.697, 22.101, 22.101, 22.101, 22.452, 23.677, 25.238, 2.293, 2.348, 3.545, 2.446, 2.446, 2.446, 1.578, 2.545, 2.619, 20.196, 20.196, 20.860, 20.169, 20.169, 20.169, 19.421, 20.172, 20.220, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
31.900, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.340, 31.520, 31.963, 31.574, 31.574, 31.574, 30.969, 31.700, 32.658, 16.369, 18.013, 19.630, 20.115, 20.115, 20.115, 20.630, 22.031, 23.790, 17.873, 20.215, 21.645, 22.069, 22.069, 22.069, 22.410, 23.625, 25.196, 2.283, 2.338, 3.531, 2.436, 2.436, 2.436, 1.573, 2.537, 2.610, 20.185, 20.185, 20.849, 20.156, 20.156, 20.156, 19.408, 20.158, 20.204, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
32.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.322, 31.514, 31.951, 31.544, 31.544, 31.544, 30.945, 31.688, 32.640, 16.309, 17.965, 19.564, 20.071, 20.071, 20.071, 20.574, 21.971, 23.751, 17.800, 20.157, 21.598, 22.022, 22.022, 22.022, 22.368, 23.583, 25.165, 2.276, 2.333, 3.518, 2.426, 2.426, 2.426, 1.564, 2.526, 2.603, 20.173, 20.172, 20.838, 20.144, 20.144, 20.144, 19.396, 20.145, 20.191, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
32.100, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.304, 31.478, 31.921, 31.526, 31.526, 31.526, 30.903, 31.682, 32.604, 16.239, 17.900, 19.488, 19.995, 19.995, 19.995, 20.520, 21.924, 23.716, 17.700, 20.089, 21.524, 21.959, 21.959, 21.959, 22.331, 23.541, 25.128, 2.265, 2.325, 3.507, 2.417, 2.417, 2.417, 1.556, 2.518, 2.591, 20.161, 20.160, 20.826, 20.133, 20.133, 20.133, 19.384, 20.132, 20.176, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
32.200, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.268, 31.454, 31.909, 31.520, 31.520, 31.520, 30.879, 31.658, 32.574, 16.185, 17.836, 19.437, 19.950, 19.950, 19.950, 20.461, 21.885, 23.663, 17.643, 19.990, 21.482, 21.928, 21.928, 21.928, 22.284, 23.515, 25.081, 2.255, 2.317, 3.492, 2.411, 2.411, 2.411, 1.549, 2.509, 2.580, 20.149, 20.147, 20.814, 20.121, 20.121, 20.121, 19.371, 20.118, 20.163, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
32.300, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.256, 31.430, 31.891, 31.508, 31.508, 31.508, 30.861, 31.640, 32.533, 16.103, 17.790, 19.393, 19.896, 19.896, 19.896, 20.420, 21.841, 23.622, 17.548, 19.948, 21.446, 21.881, 21.881, 21.881, 22.242, 23.478, 25.034, 2.246, 2.312, 3.482, 2.405, 2.405, 2.405, 1.543, 2.502, 2.570, 20.138, 20.136, 20.802, 20.109, 20.109, 20.109, 19.359, 20.104, 20.149, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
32.400, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.250, 31.406, 31.867, 31.472, 31.472, 31.472, 30.837, 31.622, 32.497, 16.029, 17.733, 19.344, 19.834, 19.834, 19.834, 20.368, 21.790, 23.582, 17.449, 19.895, 21.393, 21.818, 21.818, 21.818, 22.226, 23.436, 25.003, 2.239, 2.303, 3.470, 2.398, 2.398, 2.398, 1.536, 2.492, 2.562, 20.128, 20.123, 20.790, 20.098, 20.098, 20.098, 19.348, 20.092, 20.136, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
32.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.232, 31.382, 31.826, 31.442, 31.442, 31.442, 30.813, 31.592, 32.455, 15.948, 17.671, 19.303, 19.750, 19.750, 19.750, 20.316, 21.736, 23.537, 17.339, 19.832, 21.362, 21.750, 21.750, 21.750, 22.200, 23.363, 24.982, 2.229, 2.292, 3.459, 2.387, 2.387, 2.387, 1.531, 2.484, 2.553, 20.115, 20.112, 20.777, 20.086, 20.086, 20.086, 19.336, 20.078, 20.122, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
32.600, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.208, 31.364, 31.814, 31.430, 31.430, 31.430, 30.807, 31.568, 32.425, 15.897, 17.617, 19.262, 19.698, 19.698, 19.698, 20.257, 21.697, 23.492, 17.287, 19.780, 21.325, 21.697, 21.697, 21.697, 22.163, 23.316, 24.940, 2.218, 2.285, 3.449, 2.379, 2.379, 2.379, 1.526, 2.477, 2.545, 20.103, 20.100, 20.765, 20.075, 20.075, 20.075, 19.323, 20.067, 20.106, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
32.700, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.208, 31.346, 31.790, 31.400, 31.400, 31.400, 30.807, 31.550, 32.413, 15.849, 17.555, 19.222, 19.634, 19.634, 19.634, 20.209, 21.670, 23.442, 17.266, 19.722, 21.283, 21.640, 21.640, 21.640, 22.116, 23.311, 24.887, 2.210, 2.275, 3.443, 2.374, 2.374, 2.374, 1.520, 2.468, 2.536, 20.091, 20.089, 20.754, 20.063, 20.063, 20.063, 19.312, 20.056, 20.092, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
32.800, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.196, 31.322, 31.772, 31.382, 31.382, 31.382, 30.783, 31.538, 32.383, 15.792, 17.494, 19.154, 19.595, 19.595, 19.595, 20.160, 21.625, 23.391, 17.203, 19.649, 21.205, 21.608, 21.608, 21.608, 22.074, 23.284, 24.825, 2.201, 2.265, 3.430, 2.365, 2.365, 2.365, 1.514, 2.459, 2.527, 20.080, 20.077, 20.743, 20.051, 20.051, 20.051, 19.300, 20.042, 20.079, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
32.900, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.184, 31.292, 31.742, 31.358, 31.358, 31.358, 30.771, 31.508, 32.365, 15.746, 17.444, 19.097, 19.544, 19.544, 19.544, 20.102, 21.584, 23.356, 17.156, 19.602, 21.152, 21.556, 21.556, 21.556, 22.043, 23.253, 24.772, 2.189, 2.253, 3.420, 2.354, 2.354, 2.354, 1.506, 2.449, 2.519, 20.068, 20.066, 20.732, 20.040, 20.040, 20.040, 19.287, 20.029, 20.065, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
33.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.160, 31.262, 31.718, 31.340, 31.340, 31.340, 30.759, 31.484, 32.329, 15.699, 17.391, 19.041, 19.501, 19.501, 19.501, 20.053, 21.532, 23.310, 17.103, 19.544, 21.095, 21.509, 21.509, 21.509, 21.991, 23.211, 24.746, 2.179, 2.243, 3.410, 2.345, 2.345, 2.345, 1.501, 2.439, 2.511, 20.057, 20.054, 20.720, 20.029, 20.029, 20.029, 19.276, 20.018, 20.051, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
33.100, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.136, 31.232, 31.700, 31.316, 31.316, 31.316, 30.717, 31.448, 32.305, 15.633, 17.347, 18.961, 19.441, 19.441, 19.441, 20.007, 21.491, 23.269, 17.030, 19.502, 21.006, 21.446, 21.446, 21.446, 21.954, 23.159, 24.709, 2.169, 2.238, 3.403, 2.335, 2.335, 2.335, 1.496, 2.433, 2.502, 20.045, 20.043, 20.708, 20.016, 20.016, 20.016, 19.264, 20.005, 20.038, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
33.200, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.106, 31.220, 31.652, 31.298, 31.298, 31.298, 30.681, 31.424, 32.287, 15.579, 17.279, 18.913, 19.404, 19.404, 19.404, 19.956, 21.456, 23.218, 16.983, 19.460, 20.974, 21.409, 21.409, 21.409, 21.933, 23.133, 24.662, 2.163, 2.228, 3.392, 2.327, 2.327, 2.327, 1.490, 2.424, 2.491, 20.035, 20.032, 20.698, 20.005, 20.005, 20.005, 19.251, 19.993, 20.024, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
33.300, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.088, 31.190, 31.646, 31.268, 31.268, 31.268, 30.681, 31.418, 32.269, 15.505, 17.228, 18.860, 19.360, 19.360, 19.360, 19.878, 21.415, 23.162, 16.915, 19.429, 20.922, 21.367, 21.367, 21.367, 21.870, 23.112, 24.631, 2.153, 2.222, 3.382, 2.319, 2.319, 2.319, 1.483, 2.415, 2.485, 20.024, 20.019, 20.687, 19.992, 19.992, 19.992, 19.240, 19.980, 20.011, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
33.400, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.070, 31.166, 31.628, 31.238, 31.238, 31.238, 30.675, 31.376, 32.239, 15.441, 17.178, 18.800, 19.327, 19.327, 19.327, 19.843, 21.382, 23.131, 16.836, 19.366, 20.854, 21.346, 21.346, 21.346, 21.839, 23.096, 24.594, 2.143, 2.212, 3.376, 2.311, 2.311, 2.311, 1.475, 2.410, 2.476, 20.013, 20.007, 20.676, 19.980, 19.980, 19.980, 19.229, 19.967, 19.997, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
33.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.040, 31.149, 31.610, 31.226, 31.226, 31.226, 30.651, 31.346, 32.227, 15.377, 17.125, 18.759, 19.259, 19.259, 19.259, 19.797, 21.338, 23.090, 16.763, 19.314, 20.812, 21.289, 21.289, 21.289, 21.802, 23.059, 24.552, 2.136, 2.204, 3.366, 2.302, 2.302, 2.302, 1.470, 2.400, 2.468, 20.001, 19.995, 20.666, 19.968, 19.968, 19.968, 19.217, 19.955, 19.982, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
33.600, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.034, 31.125, 31.604, 31.220, 31.220, 31.220, 30.645, 31.316, 32.191, 15.307, 17.044, 18.699, 19.202, 19.202, 19.202, 19.752, 21.289, 23.051, 16.668, 19.235, 20.749, 21.236, 21.236, 21.236, 21.781, 23.012, 24.526, 2.129, 2.197, 3.359, 2.293, 2.293, 2.293, 1.466, 2.391, 2.459, 19.990, 19.984, 20.653, 19.956, 19.956, 19.956, 19.206, 19.943, 19.967, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
33.700, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 30.010, 31.059, 31.598, 31.178, 31.178, 31.178, 30.639, 31.298, 32.185, 15.256, 16.976, 18.656, 19.140, 19.140, 19.140, 19.711, 21.229, 23.003, 16.595, 19.146, 20.728, 21.200, 21.200, 21.200, 21.760, 22.949, 24.494, 2.121, 2.190, 3.346, 2.284, 2.284, 2.284, 1.457, 2.382, 2.450, 19.978, 19.972, 20.641, 19.944, 19.944, 19.944, 19.194, 19.931, 19.955, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
33.800, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 29.962, 31.017, 31.568, 31.143, 31.143, 31.143, 30.621, 31.268, 32.173, 15.202, 16.900, 18.606, 19.093, 19.093, 19.093, 19.649, 21.188, 22.952, 16.537, 19.068, 20.681, 21.163, 21.163, 21.163, 21.682, 22.897, 24.463, 2.115, 2.182, 3.335, 2.273, 2.273, 2.273, 1.450, 2.374, 2.441, 19.967, 19.961, 20.631, 19.933, 19.933, 19.933, 19.182, 19.919, 19.942, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
33.900, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 29.950, 30.987, 31.514, 31.119, 31.119, 31.119, 30.603, 31.256, 32.143, 15.145, 16.847, 18.553, 19.041, 19.041, 19.041, 19.608, 21.132, 22.907, 16.490, 18.979, 20.655, 21.137, 21.137, 21.137, 21.629, 22.834, 24.416, 2.107, 2.173, 3.325, 2.260, 2.260, 2.260, 1.442, 2.360, 2.429, 19.956, 19.950, 20.619, 19.922, 19.922, 19.922, 19.170, 19.907, 19.929, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
34.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 29.932, 30.933, 31.484, 31.065, 31.065, 31.065, 30.579, 31.232, 32.119, 15.075, 16.797, 18.503, 19.000, 19.000, 19.000, 19.546, 21.095, 22.859, 16.412, 18.926, 20.618, 21.079, 21.079, 21.079, 21.587, 22.808, 24.379, 2.098, 2.164, 3.313, 2.250, 2.250, 2.250, 1.433, 2.350, 2.420, 19.945, 19.937, 20.607, 19.911, 19.911, 19.911, 19.158, 19.896, 19.915, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
34.100, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 29.908, 30.891, 31.460, 31.029, 31.029, 31.029, 30.555, 31.196, 32.113, 15.029, 16.748, 18.458, 18.946, 18.946, 18.946, 19.505, 21.052, 22.826, 16.365, 18.874, 20.581, 21.032, 21.032, 21.032, 21.545, 22.766, 24.327, 2.091, 2.155, 3.303, 2.246, 2.246, 2.246, 1.427, 2.342, 2.413, 19.933, 19.925, 20.596, 19.900, 19.900, 19.900, 19.146, 19.884, 19.903, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
34.200, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 29.866, 30.879, 31.406, 30.993, 30.993, 30.993, 30.537, 31.166, 32.095, 14.970, 16.690, 18.404, 18.878, 18.878, 18.878, 19.449, 21.013, 22.773, 16.296, 18.790, 20.540, 20.995, 20.995, 20.995, 21.488, 22.724, 24.290, 2.083, 2.146, 3.296, 2.237, 2.237, 2.237, 1.422, 2.335, 2.407, 19.921, 19.914, 20.585, 19.888, 19.888, 19.888, 19.134, 19.873, 19.890, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
34.300, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 29.830, 30.855, 31.394, 30.951, 30.951, 30.951, 30.519, 31.149, 32.089, 14.904, 16.639, 18.351, 18.837, 18.837, 18.837, 19.404, 20.968, 22.742, 16.228, 18.748, 20.482, 20.964, 20.964, 20.964, 21.430, 22.703, 24.259, 2.073, 2.139, 3.286, 2.229, 2.229, 2.229, 1.416, 2.329, 2.396, 19.910, 19.901, 20.575, 19.877, 19.877, 19.877, 19.123, 19.861, 19.877, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
