Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
14640.7627, 14640.76, -6.13, -1.67, 139.497, OUT, F2
14618.8662, 14618.87, 0.00, -2.21, 93.323, OUT, F1
14475.3555, 14475.36, 7.64, 0.85, 74.217, OUT, F0
14394.0605, 14394.06, -2.72, -3.40, 104.527, OUT, F2
14292.8896, 14292.89, -2.68, -1.34, 106.304, OUT, F1
14191.1172, 14191.12, 4.69, -3.35, 106.304, OUT, F0
14110.5527, 14110.55, 6.93, 3.85, 87.315, OUT, F0
14084.5986, 14084.60, 2.68, 6.03, 106.304, OUT, F0
14001.7568, 14001.76, -2.42, 4.84, 118.164, OUT, F0
13993.6309, 13993.63, -7.07, -3.27, 146.526, OUT, F2
13947.7295, 13947.73, 6.88, 2.07, 102.725, OUT, F1
13834.3828, 13834.38, 2.21, -3.68, 93.323, OUT, F1
13717.0957, 13717.10, -4.98, -3.11, 114.872, OUT, F2
13656.1641, 13656.16, 1.43, -5.73, 97.168, OUT, F0
13620.7412, 13620.74, 3.79, 5.30, 89.352, OUT, F2
13540.1787, 13540.18, -2.98, -4.48, 91.354, OUT, F1
13500.2041, 13500.20, -0.60, 1.20, 119.784, OUT, F2
13462.3750, 13462.38, -2.72, 2.72, 104.527, OUT, F2
13442.4990, 13442.50, 0.78, -3.92, 85.241, OUT, F1
13381.3721, 13381.37, -7.13, 0.59, 126.102, OUT, F1
13374.0596, 13374.06, -0.68, 2.04, 104.527, OUT, F2
13370.1699, 13370.17, 0.78, 5.48, 85.241, OUT, F1
13347.7148, 13347.71, 3.44, 2.75, 102.725, OUT, F1
13280.9824, 13280.98, -0.69, 4.13, 102.725, OUT, F1
13275.8359, 13275.84, -7.52, -1.61, 150.621, OUT, F0
13272.7266, 13272.73, 5.48, 1.10, 143.746, OUT, F1
13240.5254, 13240.53, -4.65, -2.33, 132.184, OUT, F0
13213.3936, 13213.39, 3.24, 5.67, 80.970, OUT, F2
13173.2393, 13173.24, -8.42, -0.56, 138.058, OUT, F0
13150.5664, 13150.57, 0.00, 1.61, 150.621, OUT, F0
13096.2354, 13096.24, -3.30, -1.10, 142.341, OUT, F2
13035.1318, 13035.13, 2.21, -5.15, 93.323, OUT, F0
12991.8574, 12991.86, -6.98, -2.91, 132.184, OUT, F0
12985.7959, 12985.80, 3.35, -2.01, 106.304, OUT, F0
12985.3779, 12985.38, -7.37, -0.61, 116.527, OUT, F1
12973.6543, 12973.65, 1.25, -3.74, 114.872, OUT, F2
12948.8623, 12948.86, 5.60, 0.00, 56.191, OUT, F0
12924.4150, 12924.42, -6.32, 0.00, 154.632, OUT, F2
12909.6387, 12909.64, -0.69, 4.82, 102.725, OUT, F1
12906.9629, 12906.96, 1.62, 6.48, 80.970, OUT, F2
12900.1230, 12900.12, -2.09, 3.49, 100.899, OUT, F2
12883.6592, 12883.66, 0.70, -4.19, 100.899, OUT, F2
12837.3682, 12837.37, -1.19, -1.78, 126.102, OUT, F2
12815.2402, 12815.24, 0.00, -2.72, 104.527, OUT, F2
12801.7480, 12801.75, -1.25, -2.49, 114.872, OUT, F2
12792.9756, 12792.98, 0.54, 1.07, 150.621, OUT, F0
12786.1865, 12786.19, 4.62, 6.16, 87.315, OUT, F0
12784.7578, 12784.76, 5.45, -1.82, 118.164, OUT, F0
12757.1680, 12757.17, 0.67, 4.69, 106.304, OUT, F0
12754.8145, 12754.81, 4.36, 3.11, 114.872, OUT, F2
12727.2598, 12727.26, -2.07, -1.38, 102.725, OUT, F1
12726.2813, 12726.28, -3.63, 3.03, 118.164, OUT, F0
12725.8857, 12725.89, -1.58, -1.05, 154.632, OUT, F0
12717.3301, 12717.33, 1.87, -3.11, 114.872, OUT, F2
12695.5391, 12695.54, -7.27, -4.24, 118.164, OUT, F0
12689.7412, 12689.74, 0.00, -3.49, 100.899, OUT, F2
12631.9951, 12632.00, -0.74, 3.68, 93.323, OUT, F2
12599.9238, 12599.92, -6.75, -2.60, 157.262, OUT, F2
12528.5654, 12528.57, -3.40, 3.40, 104.527, OUT, F2
12513.2529, 12513.25, -3.60, 2.40, 119.784, OUT, F2
12510.0977, 12510.10, 6.93, 3.08, 87.315, OUT, F0
12495.7549, 12495.75, -0.68, -3.40, 104.527, OUT, F2
