Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
11754.2197, 11754.22, -6.11, -2.82, 132.184, OUT, F1
11727.9287, 11727.93, 5.64, 0.94, 140.924, OUT, F1
11699.6289, 11699.63, 0.00, -6.11, 78.769, OUT, F1
11681.9980, 11682.00, -5.64, 0.00, 135.146, OUT, F0
11669.1162, 11669.12, -0.94, -5.17, 116.527, OUT, F0
11668.9600, 11668.96, -7.05, 2.35, 122.974, OUT, F1
11614.7402, 11614.74, -0.47, 4.23, 97.168, OUT, F1
11602.6641, 11602.66, 2.35, -4.23, 99.047, OUT, F2
11564.7168, 11564.72, -2.35, -0.47, 138.058, OUT, F2
11545.1143, 11545.11, -1.41, -2.82, 91.354, OUT, F1
11527.0361, 11527.04, -3.29, -1.88, 138.058, OUT, F2
11461.4014, 11461.40, 3.76, 5.64, 106.304, OUT, F0
11460.5752, 11460.58, 5.17, -4.23, 114.872, OUT, F2
11446.8457, 11446.85, 2.82, -5.17, 80.970, OUT, F2
11429.0918, 11429.09, -5.64, 3.29, 140.924, OUT, F1
11418.5674, 11418.57, -2.35, -1.41, 138.058, OUT, F2
11396.7734, 11396.77, 2.82, 2.82, 116.527, OUT, F0
11307.8438, 11307.84, -0.94, 4.70, 93.323, OUT, F2
11297.4688, 11297.47, -6.58, -1.41, 127.643, OUT, F1
11296.5156, 11296.52, 3.76, -4.70, 127.643, OUT, F1
11294.4922, 11294.49, -5.64, 3.29, 111.506, OUT, F0
11285.8857, 11285.89, 1.88, 4.70, 78.769, OUT, F1
11278.6826, 11278.68, -0.47, 2.35, 104.527, OUT, F2
11276.8125, 11276.81, -5.17, 2.35, 130.684, OUT, F0
11266.7129, 11266.71, -4.23, -1.41, 135.146, OUT, F0
11254.6299, 11254.63, -3.76, -4.23, 121.387, OUT, F0
11244.3672, 11244.37, -1.88, 4.70, 116.527, OUT, F0
11236.9326, 11236.93, 0.00, 0.47, 124.545, OUT, F2
11225.7695, 11225.77, -3.29, 4.70, 126.102, OUT, F0
11196.9473, 11196.95, 3.76, 4.70, 87.315, OUT, F2
11194.9727, 11194.97, 6.11, 4.70, 89.352, OUT, F0
11087.4004, 11087.40, 0.00, 2.82, 99.047, OUT, F2
11069.5293, 11069.53, -1.88, 0.47, 129.170, OUT, F2
11063.1045, 11063.10, 5.17, -2.35, 106.304, OUT, F0
11040.5127, 11040.51, -2.82, -3.29, 97.168, OUT, F1
11040.4824, 11040.48, -4.23, 5.17, 113.199, OUT, F1
11027.8037, 11027.80, 5.17, 5.64, 76.519, OUT, F0
10980.6318, 10980.63, -6.58, -0.94, 158.565, OUT, F2
10915.3115, 10915.31, 5.17, -2.82, 129.170, OUT, F2
10902.6064, 10902.61, -2.35, -5.17, 87.315, OUT, F2
10889.6963, 10889.70, 0.47, 4.70, 87.315, OUT, F2
10878.8857, 10878.89, 0.94, -4.23, 109.793, OUT, F2
10821.0537, 10821.05, 0.00, 2.82, 127.643, OUT, F1
10798.5869, 10798.59, -2.35, -2.35, 124.545, OUT, F2
10794.6543, 10794.65, 2.82, -5.17, 78.769, OUT, F1
10783.1455, 10783.15, -2.82, 4.23, 109.793, OUT, F2
10772.0820, 10772.08, -8.93, -3.29, 130.684, OUT, F0
10763.9434, 10763.94, -5.64, -1.41, 135.146, OUT, F0
10763.9258, 10763.93, -0.94, -2.35, 119.784, OUT, F2
10749.8750, 10749.88, 6.11, -4.23, 118.164, OUT, F1
10719.7012, 10719.70, 3.29, 3.76, 106.304, OUT, F0
10694.7998, 10694.80, 6.58, 1.41, 113.199, OUT, F1
10676.0371, 10676.04, 2.35, 3.76, 106.304, OUT, F0
10666.9346, 10666.93, -3.76, 0.00, 139.497, OUT, F0
10664.6162, 10664.62, 1.41, -4.23, 85.241, OUT, F1
10664.0449, 10664.04, -3.29, 2.82, 121.387, OUT, F0
10644.4111, 10644.41, -2.82, 3.76, 116.527, OUT, F0
10616.7021, 10616.70, 0.47, 5.17, 85.241, OUT, F1
10606.0820, 10606.08, 4.23, 4.70, 93.323, OUT, F2
10599.8740, 10599.87, 2.82, -3.29, 95.260, OUT, F0
10591.9619, 10591.96, 0.47, -3.29, 91.354, OUT, F1
10591.8789, 10591.88, -0.47, -3.29, 109.793, OUT, F2
10576.1230, 10576.12, 0.94, 2.82, 114.872, OUT, F2
10575.2910, 10575.29, -5.64, -1.88, 140.924, OUT, F1
10571.5488, 10571.55, -6.58, 2.82, 118.164, OUT, F1
10504.7725, 10504.77, -3.76, -4.70, 99.047, OUT, F2
10502.2578, 10502.26, -4.23, -0.47, 146.526, OUT, F2
10446.3975, 10446.40, 6.58, 0.94, 122.974, OUT, F1
10443.5420, 10443.54, 2.35, 1.88, 140.924, OUT, F1
10437.0547, 10437.05, 4.23, -3.76, 95.260, OUT, F0
10426.8906, 10426.89, -3.29, -5.17, 93.323, OUT, F2
10406.3213, 10406.32, -3.29, -4.23, 97.168, OUT, F1
10401.2744, 10401.27, -7.52, 1.41, 139.497, OUT, F0
10399.2002, 10399.20, -0.47, 5.17, 97.168, OUT, F1
10375.5283, 10375.53, -1.88, -5.64, 111.506, OUT, F0
10361.0000, 10361.00, -3.76, 4.23, 126.102, OUT, F0
10358.8457, 10358.85, 5.64, -1.41, 130.684, OUT, F0
10348.2842, 10348.28, 5.64, 2.35, 122.974, OUT, F1
10338.7813, 10338.78, -1.41, -0.47, 129.170, OUT, F2
10275.0186, 10275.02, -0.94, -3.29, 109.793, OUT, F2
10255.1914, 10255.19, 2.82, 1.41, 129.170, OUT, F2
10241.5879, 10241.59, -2.82, -2.35, 124.545, OUT, F2
10218.5713, 10218.57, -6.58, -2.82, 113.199, OUT, F1
10212.4307, 10212.43, -3.76, -5.17, 116.527, OUT, F0
10198.8672, 10198.87, 3.29, -4.23, 87.315, OUT, F2
10158.1855, 10158.19, -3.29, 4.23, 127.643, OUT, F1
10137.0439, 10137.04, -3.76, 4.23, 124.545, OUT, F2
10125.5996, 10125.60, 6.58, 3.76, 89.352, OUT, F0
10077.5303, 10077.53, 2.82, -1.41, 121.387, OUT, F0
10077.2158, 10077.22, 2.82, -2.35, 111.506, OUT, F0
10050.3252, 10050.33, -2.82, 0.94, 129.170, OUT, F2
10041.0498, 10041.05, 0.47, -1.41, 159.859, OUT, F0
10016.6035, 10016.60, -7.52, -1.41, 146.526, OUT, F2
9993.0381, 9993.04, -2.35, 2.82, 104.527, OUT, F2
9973.0723, 9973.07, 2.82, 5.64, 80.970, OUT, F2
9969.7959, 9969.80, -3.29, -2.82, 113.199, OUT, F1
9945.6729, 9945.67, 3.29, 1.88, 121.387, OUT, F0
9943.8867, 9943.89, -7.05, 1.88, 139.497, OUT, F0
9940.3525, 9940.35, -0.47, -5.64, 87.315, OUT, F2
9931.1270, 9931.13, 1.88, 3.29, 109.793, OUT, F2
9930.4336, 9930.43, -1.88, 1.41, 124.545, OUT, F2
9927.9902, 9927.99, -1.88, -2.82, 114.872, OUT, F2
9900.3545, 9900.35, -2.82, 0.00, 138.058, OUT, F2
9881.0918, 9881.09, -6.11, 1.41, 143.746, OUT, F0
9868.4785, 9868.48, -7.99, -3.29, 143.746, OUT, F0
9858.3232, 9858.32, 2.82, -3.29, 109.793, OUT, F2
9855.9307, 9855.93, 2.35, 3.29, 109.793, OUT, F2
9837.6475, 9837.65, 4.70, 0.47, 138.058, OUT, F2
9837.3174, 9837.32, -6.11, -2.35, 133.671, OUT, F2
9832.6768, 9832.68, -0.94, 3.76, 113.199, OUT, F1
9828.2021, 9828.20, 4.70, -1.41, 138.058, OUT, F2
9816.0156, 9816.02, -2.35, 1.41, 118.164, OUT, F1
9813.3223, 9813.32, 1.41, 6.11, 80.970, OUT, F2
9812.5869, 9812.59, -7.05, -2.35, 154.632, OUT, F2
9807.6289, 9807.63, -5.17, 3.29, 145.141, OUT, F1
9798.7832, 9798.78, 2.35, -0.94, 133.671, OUT, F2
9796.2822, 9796.28, -2.35, 4.23, 113.199, OUT, F1
9792.2764, 9792.28, -1.88, 5.64, 102.725, OUT, F1
9775.2881, 9775.29, 1.88, -1.41, 136.608, OUT, F1
9698.0654, 9698.07, -1.88, -0.47, 113.199, OUT, F1
9697.9707, 9697.97, -7.52, -1.41, 151.967, OUT, F0
9692.9443, 9692.94, 0.47, 3.76, 87.315, OUT, F2
9687.1689, 9687.17, -4.23, -0.47, 135.146, OUT, F0
9682.7617, 9682.76, -3.76, 1.41, 126.102, OUT, F0
9664.1084, 9664.11, -4.70, 0.47, 121.387, OUT, F0
9662.5791, 9662.58, -1.41, 2.82, 135.146, OUT, F0
9640.0859, 9640.09, 0.47, 1.88, 136.608, OUT, F1
9628.2070, 9628.21, 1.88, 4.70, 106.304, OUT, F0
