, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge
12.500, 35.001, 35.654, 36.325, 35.816, 35.816, 35.816, 34.923, 36.115, 36.738, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 36.302, 37.334, 37.376, 37.768, 37.768, 37.768, 37.873, 38.271, 39.078, 34.441, 35.527, 35.546, 35.822, 35.822, 35.822, 35.908, 36.158, 37.046, 23.115, 23.442, 24.398, 23.700, 23.700, 23.700, 22.843, 23.965, 24.319, 4.335, 4.385, 6.063, 4.520, 4.520, 4.520, 3.265, 4.749, 4.865, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
12.600, 34.935, 35.606, 36.289, 35.792, 35.792, 35.792, 34.905, 36.079, 36.690, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 36.260, 37.313, 37.355, 37.748, 37.748, 37.748, 37.837, 38.245, 39.047, 34.402, 35.506, 35.519, 35.805, 35.805, 35.805, 35.871, 36.131, 37.023, 23.083, 23.411, 24.366, 23.669, 23.669, 23.669, 22.816, 23.935, 24.287, 4.319, 4.363, 6.039, 4.498, 4.498, 4.498, 3.252, 4.729, 4.843, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
12.700, 34.893, 35.552, 36.241, 35.744, 35.744, 35.744, 34.875, 36.061, 36.672, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 36.244, 37.276, 37.318, 37.721, 37.721, 37.721, 37.816, 38.208, 39.015, 34.388, 35.480, 35.488, 35.772, 35.772, 35.772, 35.844, 36.104, 37.000, 23.053, 23.380, 24.332, 23.637, 23.637, 23.637, 22.789, 23.904, 24.257, 4.300, 4.344, 6.016, 4.479, 4.479, 4.479, 3.237, 4.708, 4.818, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
12.800, 34.869, 35.546, 36.217, 35.690, 35.690, 35.690, 34.839, 36.031, 36.631, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 36.218, 37.266, 37.313, 37.711, 37.711, 37.711, 37.800, 38.208, 38.999, 34.361, 35.449, 35.457, 35.760, 35.760, 35.760, 35.820, 36.092, 36.988, 23.024, 23.351, 24.301, 23.608, 23.608, 23.608, 22.763, 23.876, 24.227, 4.279, 4.324, 5.991, 4.460, 4.460, 4.460, 3.216, 4.686, 4.797, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
12.900, 34.827, 35.528, 36.181, 35.672, 35.672, 35.672, 34.815, 35.983, 36.595, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 36.186, 37.245, 37.292, 37.685, 37.685, 37.685, 37.774, 38.177, 38.968, 34.330, 35.420, 35.434, 35.731, 35.731, 35.731, 35.789, 36.067, 36.965, 22.993, 23.321, 24.271, 23.578, 23.578, 23.578, 22.735, 23.847, 24.198, 4.259, 4.302, 5.971, 4.445, 4.445, 4.445, 3.202, 4.665, 4.773, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
13.000, 34.803, 35.516, 36.133, 35.618, 35.618, 35.618, 34.773, 35.954, 36.535, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 36.155, 37.203, 37.260, 37.653, 37.653, 37.653, 37.727, 38.140, 38.963, 34.303, 35.393, 35.410, 35.706, 35.706, 35.706, 35.758, 36.032, 36.947, 22.966, 23.293, 24.240, 23.548, 23.548, 23.548, 22.707, 23.817, 24.170, 4.240, 4.284, 5.950, 4.425, 4.425, 4.425, 3.185, 4.642, 4.748, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
13.100, 34.755, 35.486, 36.097, 35.564, 35.564, 35.564, 34.737, 35.906, 36.487, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 36.134, 37.182, 37.218, 37.611, 37.611, 37.611, 37.700, 38.109, 38.937, 34.276, 35.370, 35.375, 35.677, 35.677, 35.677, 35.719, 35.999, 36.918, 22.937, 23.262, 24.208, 23.517, 23.517, 23.517, 22.680, 23.786, 24.141, 4.224, 4.263, 5.930, 4.404, 4.404, 4.404, 3.172, 4.622, 4.726, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
13.200, 34.707, 35.456, 36.049, 35.534, 35.534, 35.534, 34.701, 35.840, 36.463, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 36.097, 37.171, 37.197, 37.596, 37.596, 37.596, 37.674, 38.088, 38.916, 34.223, 35.344, 35.344, 35.645, 35.645, 35.645, 35.682, 35.954, 36.901, 22.908, 23.233, 24.177, 23.485, 23.485, 23.485, 22.653, 23.756, 24.111, 4.206, 4.244, 5.903, 4.380, 4.380, 4.380, 3.152, 4.603, 4.707, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
13.300, 34.665, 35.420, 35.995, 35.516, 35.516, 35.516, 34.677, 35.816, 36.385, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 36.035, 37.156, 37.161, 37.575, 37.575, 37.575, 37.653, 38.046, 38.869, 34.180, 35.325, 35.311, 35.616, 35.616, 35.616, 35.655, 35.923, 36.850, 22.879, 23.202, 24.149, 23.453, 23.453, 23.453, 22.628, 23.728, 24.085, 4.186, 4.227, 5.879, 4.358, 4.358, 4.358, 3.137, 4.584, 4.689, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
13.400, 34.641, 35.402, 35.948, 35.474, 35.474, 35.474, 34.653, 35.792, 36.355, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.977, 37.135, 37.150, 37.554, 37.554, 37.554, 37.638, 38.025, 38.858, 34.142, 35.307, 35.298, 35.589, 35.589, 35.589, 35.624, 35.906, 36.821, 22.850, 23.173, 24.120, 23.423, 23.423, 23.423, 22.601, 23.700, 24.056, 4.166, 4.207, 5.851, 4.341, 4.341, 4.341, 3.120, 4.560, 4.666, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
13.500, 34.599, 35.384, 35.918, 35.438, 35.438, 35.438, 34.611, 35.750, 36.325, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.946, 37.098, 37.119, 37.528, 37.528, 37.528, 37.596, 37.994, 38.837, 34.112, 35.280, 35.272, 35.564, 35.564, 35.564, 35.595, 35.881, 36.794, 22.822, 23.144, 24.092, 23.391, 23.391, 23.391, 22.575, 23.672, 24.027, 4.153, 4.182, 5.824, 4.326, 4.326, 4.326, 3.102, 4.540, 4.647, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
13.600, 34.576, 35.342, 35.888, 35.384, 35.384, 35.384, 34.588, 35.696, 36.313, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.919, 37.082, 37.093, 37.501, 37.501, 37.501, 37.559, 37.962, 38.816, 34.093, 35.257, 35.243, 35.541, 35.541, 35.541, 35.560, 35.849, 36.763, 22.794, 23.117, 24.063, 23.363, 23.363, 23.363, 22.547, 23.641, 24.000, 4.134, 4.162, 5.796, 4.311, 4.311, 4.311, 3.086, 4.521, 4.629, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
13.700, 34.504, 35.318, 35.864, 35.336, 35.336, 35.336, 34.564, 35.648, 36.301, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.893, 37.051, 37.072, 37.465, 37.465, 37.465, 37.538, 37.920, 38.800, 34.060, 35.220, 35.214, 35.506, 35.506, 35.506, 35.541, 35.809, 36.745, 22.765, 23.089, 24.037, 23.333, 23.333, 23.333, 22.517, 23.613, 23.970, 4.114, 4.145, 5.775, 4.296, 4.296, 4.296, 3.067, 4.504, 4.612, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
13.800, 34.456, 35.271, 35.810, 35.300, 35.300, 35.300, 34.552, 35.612, 36.283, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.872, 37.035, 37.046, 37.444, 37.444, 37.444, 37.507, 37.873, 38.769, 34.031, 35.191, 35.185, 35.474, 35.474, 35.474, 35.517, 35.764, 36.720, 22.737, 23.060, 24.008, 23.301, 23.301, 23.301, 22.489, 23.583, 23.942, 4.098, 4.128, 5.753, 4.279, 4.279, 4.279, 3.051, 4.486, 4.596, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
13.900, 34.402, 35.253, 35.774, 35.265, 35.265, 35.265, 34.528, 35.576, 36.235, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.804, 36.993, 37.025, 37.417, 37.417, 37.417, 37.475, 37.826, 38.748, 33.988, 35.148, 35.160, 35.438, 35.438, 35.438, 35.496, 35.725, 36.689, 22.710, 23.033, 23.978, 23.270, 23.270, 23.270, 22.462, 23.554, 23.912, 4.080, 4.114, 5.732, 4.263, 4.263, 4.263, 3.035, 4.461, 4.578, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
14.000, 34.378, 35.223, 35.744, 35.235, 35.235, 35.235, 34.498, 35.534, 36.205, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.767, 36.962, 36.988, 37.370, 37.370, 37.370, 37.470, 37.789, 38.722, 33.961, 35.117, 35.131, 35.387, 35.387, 35.387, 35.482, 35.677, 36.658, 22.687, 23.004, 23.950, 23.242, 23.242, 23.242, 22.436, 23.525, 23.881, 4.064, 4.092, 5.711, 4.244, 4.244, 4.244, 3.021, 4.437, 4.557, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
14.100, 34.360, 35.181, 35.714, 35.193, 35.193, 35.193, 34.462, 35.480, 36.169, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.731, 36.941, 36.962, 37.318, 37.318, 37.318, 37.444, 37.763, 38.690, 33.936, 35.096, 35.107, 35.352, 35.352, 35.352, 35.459, 35.649, 36.629, 22.659, 22.978, 23.923, 23.214, 23.214, 23.214, 22.411, 23.497, 23.853, 4.045, 4.078, 5.692, 4.227, 4.227, 4.227, 3.008, 4.417, 4.534, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
14.200, 34.336, 35.169, 35.672, 35.157, 35.157, 35.157, 34.444, 35.444, 36.145, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.678, 36.920, 36.930, 37.276, 37.276, 37.276, 37.438, 37.716, 38.675, 33.905, 35.072, 35.080, 35.323, 35.323, 35.323, 35.451, 35.620, 36.605, 22.635, 22.951, 23.895, 23.187, 23.187, 23.187, 22.385, 23.471, 23.823, 4.022, 4.060, 5.673, 4.213, 4.213, 4.213, 2.994, 4.398, 4.517, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
14.300, 34.270, 35.091, 35.636, 35.145, 35.145, 35.145, 34.426, 35.408, 36.121, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.631, 36.888, 36.904, 37.208, 37.208, 37.208, 37.417, 37.648, 38.638, 33.879, 35.049, 35.053, 35.278, 35.278, 35.278, 35.426, 35.574, 36.574, 22.608, 22.924, 23.868, 23.157, 23.157, 23.157, 22.360, 23.442, 23.793, 4.008, 4.042, 5.648, 4.193, 4.193, 4.193, 2.978, 4.380, 4.505, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
14.400, 34.252, 35.055, 35.588, 35.121, 35.121, 35.121, 34.396, 35.378, 36.085, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.574, 36.841, 36.894, 37.166, 37.166, 37.166, 37.402, 37.596, 38.570, 33.844, 35.014, 35.030, 35.243, 35.243, 35.243, 35.401, 35.537, 36.533, 22.581, 22.898, 23.839, 23.126, 23.126, 23.126, 22.333, 23.413, 23.764, 3.991, 4.023, 5.628, 4.173, 4.173, 4.173, 2.959, 4.362, 4.487, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
14.500, 34.222, 35.013, 35.564, 35.103, 35.103, 35.103, 34.360, 35.336, 36.037, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.537, 36.757, 36.873, 37.124, 37.124, 37.124, 37.370, 37.559, 38.518, 33.819, 34.969, 35.006, 35.216, 35.216, 35.216, 35.368, 35.511, 36.496, 22.556, 22.872, 23.812, 23.096, 23.096, 23.096, 22.308, 23.386, 23.736, 3.975, 4.007, 5.607, 4.155, 4.155, 4.155, 2.950, 4.347, 4.467, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
14.600, 34.216, 34.971, 35.522, 35.073, 35.073, 35.073, 34.324, 35.288, 36.007, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.490, 36.721, 36.841, 37.082, 37.082, 37.082, 37.360, 37.533, 38.481, 33.782, 34.930, 34.981, 35.185, 35.185, 35.185, 35.344, 35.482, 36.463, 22.531, 22.846, 23.786, 23.067, 23.067, 23.067, 22.284, 23.357, 23.708, 3.964, 3.991, 5.590, 4.134, 4.134, 4.134, 2.938, 4.332, 4.451, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
14.700, 34.168, 34.935, 35.480, 35.061, 35.061, 35.061, 34.282, 35.265, 35.983, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.411, 36.663, 36.841, 37.035, 37.035, 37.035, 37.323, 37.486, 38.423, 33.741, 34.882, 34.971, 35.150, 35.150, 35.150, 35.298, 35.449, 36.430, 22.506, 22.822, 23.760, 23.040, 23.040, 23.040, 22.262, 23.330, 23.679, 3.943, 3.972, 5.566, 4.117, 4.117, 4.117, 2.921, 4.314, 4.432, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
14.800, 34.120, 34.911, 35.444, 35.043, 35.043, 35.043, 34.234, 35.205, 35.948, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.390, 36.627, 36.815, 36.983, 36.983, 36.983, 37.297, 37.444, 38.371, 33.704, 34.839, 34.946, 35.098, 35.098, 35.098, 35.276, 35.412, 36.399, 22.482, 22.798, 23.737, 23.011, 23.011, 23.011, 22.238, 23.301, 23.651, 3.921, 3.957, 5.547, 4.097, 4.097, 4.097, 2.907, 4.290, 4.410, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
14.900, 34.108, 34.857, 35.396, 35.007, 35.007, 35.007, 34.198, 35.181, 35.894, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.317, 36.579, 36.794, 36.951, 36.951, 36.951, 37.287, 37.386, 38.329, 33.654, 34.804, 34.925, 35.066, 35.066, 35.066, 35.253, 35.373, 36.360, 22.458, 22.773, 23.712, 22.984, 22.984, 22.984, 22.215, 23.273, 23.620, 3.906, 3.940, 5.532, 4.074, 4.074, 4.074, 2.893, 4.272, 4.388, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
15.000, 34.096, 34.821, 35.366, 34.983, 34.983, 34.983, 34.174, 35.175, 35.864, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.265, 36.532, 36.778, 36.904, 36.904, 36.904, 37.255, 37.323, 38.292, 33.615, 34.775, 34.899, 35.033, 35.033, 35.033, 35.234, 35.335, 36.333, 22.434, 22.749, 23.688, 22.955, 22.955, 22.955, 22.190, 23.243, 23.592, 3.893, 3.922, 5.509, 4.057, 4.057, 4.057, 2.879, 4.257, 4.374, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
15.100, 34.078, 34.803, 35.336, 34.947, 34.947, 34.947, 34.138, 35.163, 35.846, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.238, 36.490, 36.737, 36.883, 36.883, 36.883, 37.234, 37.297, 38.266, 33.598, 34.744, 34.859, 35.018, 35.018, 35.018, 35.214, 35.294, 36.306, 22.408, 22.725, 23.665, 22.926, 22.926, 22.926, 22.167, 23.215, 23.563, 3.877, 3.906, 5.482, 4.036, 4.036, 4.036, 2.866, 4.238, 4.357, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
15.200, 34.018, 34.767, 35.300, 34.911, 34.911, 34.911, 34.108, 35.127, 35.816, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.207, 36.459, 36.726, 36.826, 36.826, 36.826, 37.208, 37.255, 38.203, 33.572, 34.717, 34.833, 34.985, 34.985, 34.985, 35.197, 35.259, 36.267, 22.384, 22.698, 23.640, 22.898, 22.898, 22.898, 22.144, 23.188, 23.537, 3.855, 3.886, 5.457, 4.019, 4.019, 4.019, 2.851, 4.219, 4.338, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
15.300, 33.982, 34.731, 35.265, 34.881, 34.881, 34.881, 34.084, 35.091, 35.774, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.181, 36.417, 36.695, 36.763, 36.763, 36.763, 37.187, 37.218, 38.161, 33.541, 34.686, 34.802, 34.940, 34.940, 34.940, 35.179, 35.232, 36.236, 22.362, 22.675, 23.615, 22.870, 22.870, 22.870, 22.121, 23.162, 23.508, 3.841, 3.862, 5.436, 4.001, 4.001, 4.001, 2.836, 4.201, 4.321, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
15.400, 33.958, 34.707, 35.241, 34.857, 34.857, 34.857, 34.066, 35.055, 35.744, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.144, 36.391, 36.668, 36.737, 36.737, 36.737, 37.171, 37.177, 38.130, 33.497, 34.660, 34.775, 34.911, 34.911, 34.911, 35.158, 35.204, 36.215, 22.340, 22.651, 23.590, 22.841, 22.841, 22.841, 22.099, 23.134, 23.480, 3.821, 3.848, 5.419, 3.987, 3.987, 3.987, 2.819, 4.182, 4.305, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
15.500, 33.928, 34.695, 35.211, 34.815, 34.815, 34.815, 34.036, 35.031, 35.738, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.097, 36.380, 36.632, 36.721, 36.721, 36.721, 37.150, 37.129, 38.114, 33.462, 34.649, 34.738, 34.878, 34.878, 34.878, 35.140, 35.164, 36.193, 22.319, 22.627, 23.567, 22.812, 22.812, 22.812, 22.077, 23.104, 23.450, 3.807, 3.833, 5.397, 3.969, 3.969, 3.969, 2.805, 4.166, 4.289, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
15.600, 33.875, 34.653, 35.187, 34.779, 34.779, 34.779, 34.006, 35.001, 35.708, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.071, 36.333, 36.616, 36.689, 36.689, 36.689, 37.129, 37.098, 38.083, 33.438, 34.614, 34.711, 34.857, 34.857, 34.857, 35.119, 35.136, 36.168, 22.295, 22.604, 23.543, 22.784, 22.784, 22.784, 22.054, 23.077, 23.423, 3.790, 3.819, 5.376, 3.953, 3.953, 3.953, 2.788, 4.153, 4.267, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
15.700, 33.845, 34.647, 35.151, 34.737, 34.737, 34.737, 33.982, 34.965, 35.690, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 35.050, 36.286, 36.606, 36.663, 36.663, 36.663, 37.093, 37.072, 38.062, 33.415, 34.571, 34.691, 34.822, 34.822, 34.822, 35.090, 35.109, 36.151, 22.272, 22.580, 23.519, 22.755, 22.755, 22.755, 22.030, 23.048, 23.394, 3.768, 3.802, 5.355, 3.937, 3.937, 3.937, 2.776, 4.134, 4.248, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
15.800, 33.803, 34.629, 35.127, 34.707, 34.707, 34.707, 33.946, 34.917, 35.648, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 34.997, 36.265, 36.569, 36.632, 36.632, 36.632, 37.072, 37.046, 38.015, 33.380, 34.544, 34.651, 34.789, 34.789, 34.789, 35.066, 35.084, 36.110, 22.248, 22.557, 23.494, 22.727, 22.727, 22.727, 22.009, 23.021, 23.366, 3.756, 3.788, 5.338, 3.921, 3.921, 3.921, 2.766, 4.118, 4.234, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
15.900, 33.767, 34.617, 35.109, 34.671, 34.671, 34.671, 33.928, 34.899, 35.636, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 34.976, 36.234, 36.553, 36.606, 36.606, 36.606, 37.040, 37.014, 37.968, 33.351, 34.522, 34.623, 34.752, 34.752, 34.752, 35.016, 35.043, 36.071, 22.229, 22.532, 23.470, 22.701, 22.701, 22.701, 21.988, 22.993, 23.339, 3.739, 3.774, 5.315, 3.906, 3.906, 3.906, 2.751, 4.099, 4.220, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
16.000, 33.707, 34.611, 35.079, 34.641, 34.641, 34.641, 33.893, 34.863, 35.624, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 34.955, 36.228, 36.516, 36.579, 36.579, 36.579, 37.030, 36.972, 37.926, 33.322, 34.505, 34.592, 34.709, 34.709, 34.709, 34.993, 35.016, 36.036, 22.205, 22.509, 23.447, 22.673, 22.673, 22.673, 21.966, 22.963, 23.309, 3.726, 3.758, 5.300, 3.890, 3.890, 3.890, 2.736, 4.081, 4.202, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
16.100, 33.683, 34.582, 35.049, 34.611, 34.611, 34.611, 33.869, 34.845, 35.570, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 34.929, 36.197, 36.469, 36.558, 36.558, 36.558, 37.004, 36.941, 37.910, 33.296, 34.474, 34.561, 34.684, 34.684, 34.684, 34.975, 34.985, 36.009, 22.183, 22.486, 23.425, 22.643, 22.643, 22.643, 21.941, 22.935, 23.281, 3.709, 3.746, 5.284, 3.876, 3.876, 3.876, 2.722, 4.066, 4.183, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
16.200, 33.647, 34.540, 35.037, 34.588, 34.588, 34.588, 33.827, 34.809, 35.534, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 34.898, 36.176, 36.401, 36.543, 36.543, 36.543, 36.988, 36.925, 37.878, 33.265, 34.458, 34.513, 34.658, 34.658, 34.658, 34.958, 34.950, 35.985, 22.161, 22.462, 23.402, 22.617, 22.617, 22.617, 21.919, 22.907, 23.253, 3.697, 3.729, 5.268, 3.860, 3.860, 3.860, 2.712, 4.048, 4.171, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
16.300, 33.593, 34.498, 35.007, 34.558, 34.558, 34.558, 33.797, 34.773, 35.504, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 34.877, 36.134, 36.344, 36.511, 36.511, 36.511, 36.972, 36.909, 37.852, 33.244, 34.421, 34.472, 34.627, 34.627, 34.627, 34.948, 34.921, 35.966, 22.138, 22.440, 23.378, 22.590, 22.590, 22.590, 21.895, 22.877, 23.224, 3.676, 3.716, 5.254, 3.843, 3.843, 3.843, 2.700, 4.032, 4.157, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
16.400, 33.569, 34.444, 35.001, 34.534, 34.534, 34.534, 33.779, 34.749, 35.462, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 34.845, 36.108, 36.281, 36.485, 36.485, 36.485, 36.936, 36.883, 37.821, 33.221, 34.398, 34.433, 34.608, 34.608, 34.608, 34.921, 34.882, 35.943, 22.115, 22.415, 23.353, 22.562, 22.562, 22.562, 21.873, 22.848, 23.192, 3.657, 3.696, 5.233, 3.827, 3.827, 3.827, 2.684, 4.016, 4.142, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
16.500, 33.515, 34.426, 34.971, 34.498, 34.498, 34.498, 33.761, 34.725, 35.408, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 34.814, 36.087, 36.239, 36.427, 36.427, 36.427, 36.920, 36.862, 37.789, 33.201, 34.375, 34.400, 34.569, 34.569, 34.569, 34.901, 34.870, 35.912, 22.094, 22.391, 23.332, 22.534, 22.534, 22.534, 21.853, 22.818, 23.164, 3.643, 3.679, 5.215, 3.813, 3.813, 3.813, 2.669, 4.002, 4.124, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
