, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge
1.000, 44.203, 44.305, 45.809, 44.719, 44.719, 44.719, 43.652, 45.270, 45.450, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 43.405, 43.950, 44.295, 44.384, 44.384, 44.384, 44.479, 44.746, 45.270, 41.045, 41.700, 42.003, 42.139, 42.139, 42.139, 42.213, 42.504, 43.031, 30.316, 30.498, 31.811, 31.215, 31.215, 31.215, 30.469, 32.249, 32.278, 10.766, 10.632, 13.364, 11.141, 11.141, 11.141, 8.970, 11.666, 11.607, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.100, 43.982, 44.090, 45.641, 44.527, 44.527, 44.527, 43.461, 45.084, 45.264, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 43.227, 43.782, 44.107, 44.248, 44.248, 44.248, 44.327, 44.605, 45.134, 40.853, 41.513, 41.785, 41.978, 41.978, 41.978, 42.071, 42.337, 42.883, 30.077, 30.282, 31.550, 30.945, 30.945, 30.945, 30.218, 31.957, 32.002, 10.543, 10.426, 13.140, 10.908, 10.908, 10.908, 8.744, 11.433, 11.391, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.200, 43.790, 43.928, 45.444, 44.353, 44.353, 44.353, 43.257, 44.880, 45.090, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 43.096, 43.641, 43.934, 44.102, 44.102, 44.102, 44.185, 44.458, 44.966, 40.697, 41.377, 41.606, 41.830, 41.830, 41.830, 41.931, 42.199, 42.743, 29.872, 30.083, 31.323, 30.697, 30.697, 30.697, 29.982, 31.685, 31.741, 10.330, 10.215, 12.915, 10.692, 10.692, 10.692, 8.551, 11.211, 11.174, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.300, 43.610, 43.724, 45.276, 44.191, 44.191, 44.191, 43.065, 44.719, 44.940, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 42.928, 43.473, 43.740, 44.002, 44.002, 44.002, 44.054, 44.311, 44.840, 40.534, 41.200, 41.424, 41.690, 41.690, 41.690, 41.797, 42.036, 42.605, 29.685, 29.908, 31.116, 30.485, 30.485, 30.485, 29.760, 31.439, 31.511, 10.141, 10.014, 12.703, 10.487, 10.487, 10.487, 8.379, 11.022, 10.968, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.400, 43.431, 43.580, 45.090, 44.030, 44.030, 44.030, 42.921, 44.551, 44.761, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 42.734, 43.337, 43.588, 43.866, 43.866, 43.866, 43.950, 44.191, 44.741, 40.359, 41.064, 41.278, 41.540, 41.540, 41.540, 41.667, 41.896, 42.500, 29.518, 29.743, 30.932, 30.289, 30.289, 30.289, 29.554, 31.219, 31.300, 9.944, 9.840, 12.511, 10.305, 10.305, 10.305, 8.220, 10.828, 10.780, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.500, 43.311, 43.449, 44.940, 43.862, 43.862, 43.862, 42.772, 44.413, 44.581, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 42.614, 43.216, 43.426, 43.730, 43.730, 43.730, 43.824, 44.091, 44.615, 40.241, 40.926, 41.140, 41.406, 41.406, 41.406, 41.548, 41.772, 42.368, 29.353, 29.588, 30.758, 30.107, 30.107, 30.107, 29.361, 31.008, 31.098, 9.780, 9.667, 12.333, 10.136, 10.136, 10.136, 8.051, 10.649, 10.611, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.600, 43.167, 43.287, 44.761, 43.718, 43.718, 43.718, 42.646, 44.251, 44.461, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 42.472, 43.033, 43.263, 43.594, 43.594, 43.594, 43.714, 43.950, 44.500, 40.103, 40.783, 41.004, 41.270, 41.270, 41.270, 41.441, 41.624, 42.246, 29.200, 29.439, 30.594, 29.932, 29.932, 29.932, 29.170, 30.809, 30.903, 9.611, 9.497, 12.158, 9.957, 9.957, 9.957, 7.901, 10.496, 10.447, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.700, 42.987, 43.131, 44.653, 43.604, 43.604, 43.604, 42.484, 44.114, 44.335, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 42.300, 42.897, 43.138, 43.442, 43.442, 43.442, 43.588, 43.814, 44.374, 39.947, 40.643, 40.878, 41.101, 41.101, 41.101, 41.321, 41.505, 42.104, 29.051, 29.295, 30.437, 29.769, 29.769, 29.769, 28.995, 30.616, 30.720, 9.464, 9.354, 11.997, 9.807, 9.807, 9.807, 7.768, 10.325, 10.293, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.800, 42.837, 42.993, 44.521, 43.431, 43.431, 43.431, 42.388, 44.000, 44.227, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 42.137, 42.782, 43.002, 43.295, 43.295, 43.295, 43.499, 43.704, 44.243, 39.803, 40.526, 40.736, 40.973, 40.973, 40.973, 41.218, 41.381, 41.987, 28.914, 29.161, 30.287, 29.614, 29.614, 29.614, 28.816, 30.436, 30.547, 9.319, 9.219, 11.856, 9.663, 9.663, 9.663, 7.632, 10.174, 10.150, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.900, 42.682, 42.819, 44.371, 43.281, 43.281, 43.281, 42.226, 43.850, 44.072, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 41.985, 42.630, 42.834, 43.153, 43.153, 43.153, 43.394, 43.614, 44.154, 39.677, 40.380, 40.602, 40.860, 40.860, 40.860, 41.115, 41.268, 41.890, 28.782, 29.034, 30.147, 29.468, 29.468, 29.468, 28.652, 30.258, 30.378, 9.177, 9.088, 11.710, 9.508, 9.508, 9.508, 7.503, 10.035, 10.011, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
