Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
8.000, 100.000, 100.000, 37.960, 5.829, 39.345, 25.378, 37.316
8.100, 100.000, 100.000, 37.900, 5.799, 39.303, 25.333, 37.278
8.200, 100.000, 100.000, 37.829, 5.766, 39.251, 25.289, 37.225
8.300, 100.000, 100.000, 37.781, 5.732, 39.204, 25.246, 37.180
8.400, 100.000, 100.000, 37.716, 5.703, 39.151, 25.205, 37.145
8.500, 100.000, 100.000, 37.692, 5.672, 39.104, 25.163, 37.112
8.600, 100.000, 100.000, 37.615, 5.643, 39.041, 25.120, 37.060
8.700, 100.000, 100.000, 37.531, 5.609, 38.984, 25.074, 37.015
8.800, 100.000, 100.000, 37.478, 5.580, 38.942, 25.028, 36.978
8.900, 100.000, 100.000, 37.436, 5.548, 38.889, 24.984, 36.934
9.000, 100.000, 100.000, 37.347, 5.517, 38.842, 24.940, 36.889
9.100, 100.000, 100.000, 37.287, 5.486, 38.790, 24.899, 36.846
9.200, 100.000, 100.000, 37.239, 5.457, 38.764, 24.857, 36.815
9.300, 100.000, 100.000, 37.186, 5.432, 38.717, 24.820, 36.774
9.400, 100.000, 100.000, 37.114, 5.411, 38.675, 24.782, 36.735
9.500, 100.000, 100.000, 37.079, 5.382, 38.628, 24.743, 36.702
9.600, 100.000, 100.000, 37.031, 5.359, 38.601, 24.705, 36.671
9.700, 100.000, 100.000, 36.972, 5.332, 38.586, 24.666, 36.644
9.800, 100.000, 100.000, 36.924, 5.295, 38.544, 24.629, 36.609
9.900, 100.000, 100.000, 36.882, 5.265, 38.507, 24.590, 36.572
10.000, 100.000, 100.000, 36.817, 5.242, 38.491, 24.555, 36.543
10.100, 100.000, 100.000, 36.775, 5.217, 38.460, 24.520, 36.510
10.200, 100.000, 100.000, 36.745, 5.191, 38.428, 24.485, 36.473
10.300, 100.000, 100.000, 36.692, 5.162, 38.392, 24.450, 36.440
10.400, 100.000, 100.000, 36.644, 5.128, 38.360, 24.416, 36.399
10.500, 100.000, 100.000, 36.596, 5.099, 38.334, 24.383, 36.370
10.600, 100.000, 100.000, 36.567, 5.072, 38.308, 24.348, 36.339
10.700, 100.000, 100.000, 36.519, 5.048, 38.266, 24.312, 36.308
10.800, 100.000, 100.000, 36.501, 5.025, 38.235, 24.279, 36.283
10.900, 100.000, 100.000, 36.448, 5.001, 38.208, 24.247, 36.263
11.000, 100.000, 100.000, 36.364, 4.977, 38.161, 24.214, 36.224
11.100, 100.000, 100.000, 36.317, 4.956, 38.130, 24.182, 36.195
11.200, 100.000, 100.000, 36.275, 4.932, 38.093, 24.150, 36.166
11.300, 100.000, 100.000, 36.215, 4.905, 38.067, 24.118, 36.139
11.400, 100.000, 100.000, 36.168, 4.880, 38.062, 24.086, 36.110
11.500, 100.000, 100.000, 36.138, 4.858, 38.025, 24.055, 36.081
11.600, 100.000, 100.000, 36.096, 4.829, 37.994, 24.021, 36.055
11.700, 100.000, 100.000, 36.049, 4.804, 37.973, 23.989, 36.038
11.800, 100.000, 100.000, 36.001, 4.776, 37.941, 23.957, 36.013
11.900, 100.000, 100.000, 35.977, 4.750, 37.910, 23.926, 35.987
12.000, 100.000, 100.000, 35.941, 4.732, 37.884, 23.894, 35.960
12.100, 100.000, 100.000, 35.894, 4.710, 37.852, 23.860, 35.917
12.200, 100.000, 100.000, 35.834, 4.687, 37.821, 23.830, 35.890
12.300, 100.000, 100.000, 35.816, 4.668, 37.789, 23.797, 35.859
12.400, 100.000, 100.000, 35.798, 4.647, 37.758, 23.764, 35.830
12.500, 100.000, 100.000, 35.757, 4.623, 37.748, 23.733, 35.801
12.600, 100.000, 100.000, 35.727, 4.602, 37.711, 23.701, 35.781
12.700, 100.000, 100.000, 35.703, 4.586, 37.690, 23.668, 35.760
12.800, 100.000, 100.000, 35.673, 4.562, 37.643, 23.637, 35.731
12.900, 100.000, 100.000, 35.638, 4.543, 37.632, 23.607, 35.710
13.000, 100.000, 100.000, 35.608, 4.529, 37.606, 23.577, 35.686
13.100, 100.000, 100.000, 35.548, 4.504, 37.580, 23.545, 35.655
13.200, 100.000, 100.000, 35.519, 4.480, 37.554, 23.513, 35.624
13.300, 100.000, 100.000, 35.477, 4.463, 37.528, 23.482, 35.581
13.400, 100.000, 100.000, 35.447, 4.447, 37.496, 23.450, 35.548
13.500, 100.000, 100.000, 35.423, 4.427, 37.459, 23.420, 35.506
13.600, 100.000, 100.000, 35.376, 4.406, 37.412, 23.391, 35.478
13.700, 100.000, 100.000, 35.364, 4.385, 37.381, 23.359, 35.457
13.800, 100.000, 100.000, 35.340, 4.365, 37.318, 23.331, 35.418
13.900, 100.000, 100.000, 35.298, 4.341, 37.271, 23.298, 35.383
14.000, 100.000, 100.000, 35.245, 4.322, 37.218, 23.268, 35.344
14.100, 100.000, 100.000, 35.215, 4.307, 37.177, 23.238, 35.307
14.200, 100.000, 100.000, 35.161, 4.286, 37.145, 23.207, 35.274
14.300, 100.000, 100.000, 35.149, 4.265, 37.098, 23.178, 35.241
14.400, 100.000, 100.000, 35.126, 4.245, 37.030, 23.148, 35.199
14.500, 100.000, 100.000, 35.090, 4.227, 36.988, 23.117, 35.171
14.600, 100.000, 100.000, 35.048, 4.207, 36.951, 23.087, 35.131
14.700, 100.000, 100.000, 35.042, 4.190, 36.920, 23.057, 35.105
14.800, 100.000, 100.000, 35.013, 4.173, 36.883, 23.026, 35.076
14.900, 100.000, 100.000, 34.959, 4.159, 36.831, 22.998, 35.045
15.000, 100.000, 100.000, 34.929, 4.143, 36.799, 22.968, 35.010
15.100, 100.000, 100.000, 34.870, 4.126, 36.789, 22.938, 34.987
15.200, 100.000, 100.000, 34.846, 4.107, 36.742, 22.908, 34.942
15.300, 100.000, 100.000, 34.798, 4.088, 36.737, 22.880, 34.927
15.400, 100.000, 100.000, 34.751, 4.071, 36.731, 22.850, 34.913
15.500, 100.000, 100.000, 34.733, 4.054, 36.705, 22.822, 34.886
15.600, 100.000, 100.000, 34.721, 4.039, 36.653, 22.792, 34.845
15.700, 100.000, 100.000, 34.697, 4.020, 36.611, 22.762, 34.806
15.800, 100.000, 100.000, 34.655, 4.003, 36.595, 22.734, 34.773
15.900, 100.000, 100.000, 34.614, 3.987, 36.574, 22.706, 34.754
16.000, 100.000, 100.000, 34.596, 3.969, 36.553, 22.680, 34.719
16.100, 100.000, 100.000, 34.560, 3.950, 36.522, 22.655, 34.686
16.200, 100.000, 100.000, 34.524, 3.933, 36.517, 22.628, 34.666
16.300, 100.000, 100.000, 34.483, 3.912, 36.496, 22.601, 34.647
16.400, 100.000, 100.000, 34.429, 3.895, 36.464, 22.576, 34.610
16.500, 100.000, 100.000, 34.387, 3.882, 36.422, 22.549, 34.581
16.600, 100.000, 100.000, 34.358, 3.866, 36.401, 22.523, 34.565
16.700, 100.000, 100.000, 34.346, 3.852, 36.391, 22.497, 34.548
16.800, 100.000, 100.000, 34.322, 3.840, 36.370, 22.471, 34.528
16.900, 100.000, 100.000, 34.268, 3.826, 36.349, 22.446, 34.509
17.000, 100.000, 100.000, 34.250, 3.811, 36.328, 22.421, 34.489
17.100, 100.000, 100.000, 34.238, 3.797, 36.270, 22.397, 34.443
17.200, 100.000, 100.000, 34.215, 3.782, 36.260, 22.372, 34.416
17.300, 100.000, 100.000, 34.191, 3.764, 36.244, 22.347, 34.398
17.400, 100.000, 100.000, 34.155, 3.751, 36.223, 22.322, 34.369
17.500, 100.000, 100.000, 34.125, 3.733, 36.192, 22.295, 34.344
17.600, 100.000, 100.000, 34.096, 3.716, 36.160, 22.273, 34.313
17.700, 100.000, 100.000, 34.072, 3.701, 36.155, 22.250, 34.303
17.800, 100.000, 100.000, 34.018, 3.683, 36.134, 22.226, 34.276
17.900, 100.000, 100.000, 33.994, 3.668, 36.113, 22.202, 34.254
18.000, 100.000, 100.000, 33.959, 3.652, 36.103, 22.178, 34.221
18.100, 100.000, 100.000, 33.947, 3.637, 36.066, 22.154, 34.186
18.200, 100.000, 100.000, 33.917, 3.625, 36.035, 22.131, 34.161
18.300, 100.000, 100.000, 33.893, 3.611, 36.008, 22.107, 34.147
18.400, 100.000, 100.000, 33.851, 3.599, 35.993, 22.085, 34.120
18.500, 100.000, 100.000, 33.816, 3.583, 35.961, 22.060, 34.081
18.600, 100.000, 100.000, 33.804, 3.576, 35.956, 22.035, 34.068
18.700, 100.000, 100.000, 33.738, 3.565, 35.914, 22.011, 34.029
18.800, 100.000, 100.000, 33.703, 3.548, 35.893, 21.989, 34.000
