Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
15294.0361, 15294.04, 3.75, 1.41, 122.974, OUT, F2
15290.8271, 15290.83, -4.25, -3.30, 124.545, OUT, F1
15093.5176, 15093.52, 6.10, -2.34, 122.974, OUT, F1
15092.6172, 15092.62, 3.75, 2.34, 122.974, OUT, F0
15012.7510, 15012.75, -6.14, -3.30, 124.545, OUT, F2
15005.0322, 15005.03, 0.94, -3.30, 124.545, OUT, F0
14970.4600, 14970.46, 5.63, 1.41, 122.974, OUT, F0
14969.9014, 14969.90, -7.87, -3.44, 143.746, OUT, F0
14884.4482, 14884.45, -0.50, 3.51, 99.047, OUT, F1
14675.6172, 14675.62, -1.97, -0.49, 143.746, OUT, F0
14659.7334, 14659.73, 1.59, 4.78, 87.315, OUT, F1
14587.0898, 14587.09, -2.51, 0.50, 99.047, OUT, F1
14530.2031, 14530.20, -7.01, -3.00, 147.901, OUT, F2
14499.8838, 14499.88, -6.61, -3.78, 124.545, OUT, F2
14470.0654, 14470.07, 1.00, -4.01, 99.047, OUT, F0
14437.8643, 14437.86, 2.02, -4.55, 97.168, OUT, F2
14282.8848, 14282.88, -2.02, -4.04, 97.168, OUT, F2
14273.8086, 14273.81, 0.00, -5.52, 99.047, OUT, F0
14243.9717, 14243.97, -5.91, -0.98, 143.746, OUT, F1
14207.6816, 14207.68, -1.06, -1.06, 162.424, OUT, F0
14069.9453, 14069.95, 0.50, 1.00, 99.047, OUT, F2
14066.7344, 14066.73, 2.51, -2.01, 99.047, OUT, F2
14053.2305, 14053.23, -3.01, 4.51, 99.047, OUT, F2
14032.9287, 14032.93, -3.00, -2.40, 64.393, OUT, F1
14018.2471, 14018.25, -1.00, 0.00, 99.047, OUT, F1
13938.2969, 13938.30, -0.53, 3.19, 87.315, OUT, F2
13905.8965, 13905.90, 4.25, -4.25, 87.315, OUT, F0
13902.7568, 13902.76, -7.08, 0.47, 124.545, OUT, F1
13811.3057, 13811.31, 1.89, -1.42, 124.545, OUT, F2
13748.8672, 13748.87, -1.52, 4.55, 97.168, OUT, F2
13734.4209, 13734.42, 0.55, -4.91, 83.127, OUT, F1
13643.3242, 13643.32, -4.22, 3.28, 122.974, OUT, F0
13571.8682, 13571.87, 2.51, 6.02, 99.047, OUT, F0
13535.0439, 13535.04, 3.51, -3.01, 99.047, OUT, F2
13425.7246, 13425.72, 5.16, 2.81, 122.974, OUT, F0
13402.5088, 13402.51, -1.01, -2.02, 97.168, OUT, F1
13365.2988, 13365.30, 5.63, 1.88, 122.974, OUT, F1
13315.8389, 13315.84, -3.01, 3.51, 99.047, OUT, F0
13301.1162, 13301.12, -4.51, -3.01, 99.047, OUT, F2
13274.5723, 13274.57, -6.52, -2.01, 99.047, OUT, F1
13251.2832, 13251.28, 2.02, 3.03, 97.168, OUT, F1
13238.3691, 13238.37, 2.34, -2.34, 122.974, OUT, F0
13231.0918, 13231.09, 2.81, -2.34, 122.974, OUT, F1
13223.6055, 13223.61, -2.01, 1.50, 99.047, OUT, F1
13188.9199, 13188.92, 1.50, 5.52, 99.047, OUT, F0
13186.7656, 13186.77, -9.15, -1.45, 133.671, OUT, F0
13130.6670, 13130.67, -7.23, 1.93, 133.671, OUT, F0
13125.8994, 13125.90, -7.51, -1.50, 147.901, OUT, F2
13030.4590, 13030.46, -2.36, 2.36, 124.545, OUT, F0
13012.6475, 13012.65, 3.51, -3.01, 99.047, OUT, F1
12907.5615, 12907.56, -7.23, 1.45, 133.671, OUT, F2
12887.8848, 12887.88, -3.78, 0.94, 124.545, OUT, F0
12887.4629, 12887.46, -0.47, -4.25, 124.545, OUT, F0
12881.8711, 12881.87, 5.78, -1.45, 133.671, OUT, F2
12879.9150, 12879.92, -2.51, 4.01, 99.047, OUT, F1
12855.3643, 12855.36, -2.41, 1.45, 133.671, OUT, F0
12854.6924, 12854.69, 4.51, -1.00, 99.047, OUT, F0
12825.5859, 12825.59, 3.01, -3.01, 99.047, OUT, F0
12756.7588, 12756.76, 1.88, 2.34, 122.974, OUT, F1
12744.3643, 12744.36, 1.00, -5.01, 99.047, OUT, F2
12741.4834, 12741.48, -9.11, -2.40, 129.170, OUT, F0
12712.7520, 12712.75, 5.78, -0.48, 133.671, OUT, F2
12549.1182, 12549.12, -8.37, -0.98, 143.746, OUT, F0
12514.6172, 12514.62, 1.50, -2.51, 99.047, OUT, F1
12481.6338, 12481.63, 2.18, 6.00, 83.127, OUT, F2
12469.3574, 12469.36, -4.34, -2.41, 133.671, OUT, F0
12457.6494, 12457.65, 7.00, 3.50, 71.858, OUT, F0
12393.1924, 12393.19, 4.01, 5.52, 99.047, OUT, F0
12391.5762, 12391.58, -3.78, 4.72, 124.545, OUT, F2
12334.5371, 12334.54, -5.19, 1.89, 124.545, OUT, F0
12314.9932, 12314.99, -6.51, -2.00, 147.901, OUT, F2
12271.6611, 12271.66, 2.51, -3.01, 99.047, OUT, F1
12267.6826, 12267.68, -0.53, -1.59, 162.424, OUT, F0
12208.2930, 12208.29, -1.00, 2.01, 99.047, OUT, F1
12156.2334, 12156.23, -7.71, 1.45, 133.671, OUT, F0
12132.4658, 12132.47, -4.69, 4.69, 122.974, OUT, F2
12124.0771, 12124.08, 2.51, 2.51, 99.047, OUT, F0
12083.2598, 12083.26, 1.00, 5.01, 99.047, OUT, F0
12064.8174, 12064.82, 3.30, -0.94, 124.545, OUT, F0
12048.3594, 12048.36, 4.01, -2.01, 99.047, OUT, F2
12046.2930, 12046.29, -4.31, 3.84, 129.170, OUT, F1
12036.3438, 12036.34, -5.16, 0.94, 122.974, OUT, F0
12030.1348, 12030.13, -7.01, -1.00, 147.901, OUT, F0
12025.7813, 12025.78, -5.97, 1.49, 146.526, OUT, F0
12021.4170, 12021.42, 5.01, -4.51, 99.047, OUT, F1
11988.1797, 11988.18, -1.88, 2.34, 122.974, OUT, F1
11974.9561, 11974.96, 4.78, 3.72, 87.315, OUT, F1
11957.7236, 11957.72, -2.53, 5.56, 97.168, OUT, F1
11940.2158, 11940.22, 1.42, 2.36, 124.545, OUT, F0
11922.1611, 11922.16, -3.98, -0.50, 146.526, OUT, F2
11919.8916, 11919.89, -3.51, -5.01, 99.047, OUT, F2
11885.7256, 11885.73, -5.78, -2.89, 133.671, OUT, F1
11871.1826, 11871.18, 1.00, -5.52, 99.047, OUT, F0
11849.0010, 11849.00, 3.01, -3.51, 99.047, OUT, F2
11848.3027, 11848.30, 0.53, -0.53, 161.145, OUT, F0
11847.6777, 11847.68, -4.01, 3.01, 99.047, OUT, F2
11824.9893, 11824.99, -2.36, -2.36, 124.545, OUT, F2
11795.5020, 11795.50, 1.64, 4.37, 83.127, OUT, F2
11776.9385, 11776.94, 3.84, -0.48, 129.170, OUT, F0
11759.1934, 11759.19, -3.51, -4.01, 99.047, OUT, F1
11754.2910, 11754.29, 4.82, -1.45, 133.671, OUT, F2
11750.8545, 11750.85, 0.00, 4.51, 99.047, OUT, F0
11711.9395, 11711.94, -3.78, 4.25, 124.545, OUT, F1
11678.5879, 11678.59, 4.04, 4.55, 97.168, OUT, F2
11670.1309, 11670.13, 3.78, -4.72, 124.545, OUT, F1
11647.7734, 11647.77, -6.74, 1.93, 133.671, OUT, F0
11637.3428, 11637.34, 0.00, -2.01, 99.047, OUT, F2
11625.1514, 11625.15, -0.50, 2.51, 99.047, OUT, F2
11609.3320, 11609.33, -2.36, -3.30, 124.545, OUT, F0
11606.2100, 11606.21, -5.16, 1.41, 122.974, OUT, F0
11591.2734, 11591.27, 3.28, -2.34, 122.974, OUT, F1
11577.3301, 11577.33, -7.71, 0.96, 133.671, OUT, F0
11560.4424, 11560.44, 1.00, 4.01, 99.047, OUT, F0
11528.5059, 11528.51, -1.00, 4.01, 99.047, OUT, F1
11525.7363, 11525.74, -2.01, 5.52, 99.047, OUT, F1
11524.4141, 11524.41, 0.00, -5.84, 87.315, OUT, F2
11517.4297, 11517.43, 5.41, 1.20, 64.393, OUT, F2
11489.5078, 11489.51, -4.69, 3.75, 122.974, OUT, F0
11483.4775, 11483.48, -4.01, -5.01, 99.047, OUT, F2
11467.4170, 11467.42, 3.36, -5.60, 78.769, OUT, F2
11367.7783, 11367.78, -4.72, 0.47, 124.545, OUT, F0
11359.8447, 11359.84, 1.50, 2.51, 99.047, OUT, F2
11342.3701, 11342.37, 1.01, 3.03, 97.168, OUT, F1
11324.1396, 11324.14, 0.50, -1.50, 99.047, OUT, F1
11267.1221, 11267.12, -2.51, -2.01, 99.047, OUT, F1
11266.7080, 11266.71, -2.01, 4.01, 99.047, OUT, F0
11256.3955, 11256.40, 0.00, 3.51, 99.047, OUT, F1
11227.9727, 11227.97, -2.51, 4.51, 99.047, OUT, F2
11194.7275, 11194.73, 6.52, 2.01, 99.047, OUT, F1
11176.7725, 11176.77, -6.93, 0.99, 145.141, OUT, F0
11135.0488, 11135.05, -0.50, 1.50, 99.047, OUT, F2
11125.4512, 11125.45, -0.98, -2.95, 143.746, OUT, F0
11086.3447, 11086.34, 3.51, -3.51, 99.047, OUT, F1
11057.4053, 11057.41, -3.30, 0.94, 124.545, OUT, F1
11048.9834, 11048.98, 6.56, -0.94, 122.974, OUT, F1
11047.6699, 11047.67, -4.51, -4.01, 99.047, OUT, F2
11015.5850, 11015.58, -7.03, 2.34, 122.974, OUT, F1
10963.1602, 10963.16, 4.31, -4.31, 85.241, OUT, F2
10951.5088, 10951.51, 4.82, 0.48, 133.671, OUT, F2
10887.4395, 10887.44, 5.27, -2.40, 129.170, OUT, F2
